Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Retail Space,Stone,25 sq.m.,,,,,Ararat › Vedi,"4,400,000 ֏",AMD,"URGENT I am selling a shop, a business with an area of 25 square meters. ""Meat shop"" has a separate tank for water, a toilet, a sink, a parking lot suitable for cars...Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17632887
Retail Space,Stone,50 sq.m.,,,,,"Նոր թաղամաս 35, Մասիս","$20,000",USD,The price is negotiable. Can be converted into an apartment. Call for details.Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/16734387
Industrial and Manufacturing,Stone,"15,000 sq.m.",Available,Available,First Line,Separate from the Courtyard,Ararat › Masis,"$570,000",USD,"Fish farm Dzknabucaran for saleThe annual production is from 300 + tons to 400 tons. At the moment, the amount of feed has room to increase by 1000 kg per day, all documents are legal. Legal water usage permit 100l/secondI am currently working on a large volumehas a mailroom2 state power line, VIP line. It has a generator, 3 automatic return pumps, 140 liters of water per second. With cameras of the new generation60 pcsIdeal employeeFish Farm Lakesalso wholesale small fishDzknabucaran:Lcher:IshxanAsetrinaKarmraxayt:GexarqunikReasonable Price In just 1 year of breeding, the fish farm makes its money backI want to sell 2 fish farms. I am selling oneTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16975541
Retail Space,Stone,125 sq.m.,Available,Not available,First Line,Separate from the Street,Ararat › Argavand,"$67,000",USD,"KOD-63143In Argavand, commercial space for sale, 2 floors.^ Sold with equipment^ Located in the first lineTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16849083
Office Space,Stone,72 sq.m.,,,,,Ararat › Masis,"35,000,000 ֏",AMD,The real estate is located next to Masis Municipality. The building was built in 2008 with the possibility of rebuilding up to 3 floors.Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/18112456
Everything Else,Stone,2200 sq.m.,,,,,Ararat › Azatashen,"45,000,000 ֏",AMD,"The land is 2200 sq. M., the farm is 500 sq. M., it is provided with constant water and electricity, the windows are euro, the inside of the farm is furnished with necessary accessories (water pacifiers, ventilation system, video recording system) The farm has been operating for 4 years. No similar farm, the building is made entirely of stone and reinforced concrete, the roof is built in such a way that the inside of the farm is provided with lighting, it has the ability to expand. It is located 4 km away from Yerevan. The cost of the building is 40,000,000 AMD, It is for sale together with the animals, the cost of the animals is negotiable.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/11962602
Functioning Business,Monolith,3000 sq.m.,,,,,Ararat › Ararat,"$750,000",USD,"Vacharvume gas station in AraratMinimum 100 cubic meters of gas sold per monthFor more details, please callTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17882402
Multifunctional Space,Stone,1000 sq.m.,,,,,"1st Street 1, Nor Kharberd","$150,000",USD,"2-storey commercial HOUSE - GUESTHOUSE (two-layer tuff capital building) for saleIn the newly built district of Masis-Ayntap Kaltsevo, PRESIGNATION of the main highway (near the Great Cross)3 km away from Yerevan.Each floor is 200 square meters. Total: 1000 square meters.The 1st floor (H = 3.05) is suitable for forging, furniture, production of household goods, etc.2nd floor (H = 3.20) The floor is suitable for living, as well as for textile production, office, etc.In the yard, 40 m high, 40 sq. M. Storage-production area, swimming pool, parking lot, garden.The house has 3 separate entrances.The private house is convenient to use as a guest-hotel (beautiful view of Masis), a kindergarten, a trade base, etc.Price: $ 150,000Code TTT295Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17937269
Restaurant,Stone,5000 sq.m.,,,,,Ararat › Ararat,"$350,000",USD,"A newly built restaurant is for sale, there is a bakery, a beer house, a wedding hall (150 people), a car, compartments. At the back of the building there is a large garden with fruit trees. For details, call (pictures are not complete)Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16683696
Industrial and Manufacturing,Stone,5000 sq.m.,,,,,Ararat › Nor Kharberd,"$480,000",USD,"KOD-61113Commercial space for sale in New Kharberd.^ There is gas, light, water, three-phase current^ Guard house: 100 square meters^ Available for 6-10 years. 3 refrigerators^ Artificial drying devices 3 for 700 kg, 2 for 350 kg^ Solar drying system^ 720 square meters of two-story building area^ 290 square meters of one-story building area^ Total buildings are 2500 square meters^ 2500 sq m plot is also sold separatelyTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16520456
Functioning Business,Monolith,2500 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,Ararat › Masis,"$250,000",USD,"Code 45319A functioning and profitable rose greenhouse. Hydrapanic system, cameras are installed. Built between 2018-2021. Gas, water, all utilities. There are partners who work permanently in the greenhouse, there is no problem of consumption. Flower consumption is carried out in flower markets and partner flower shops.# greenhouse#Hydrapanic system#rose greenhouse# гипропоник:#Operating and income generating rose greenhouse#Parnik:Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/11262091
Everything Else,Stone,25 sq.m.,Not available,Not available,First Line,Common from the Street,Ararat › Vedi,"$10,500",USD,"I am selling a hairdressing salon area with all its communal facilities. With the possibility of adding a second floor. It is connected to the city drinking water, the sewerage has a separate yard. Call for details.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17250576
Industrial and Manufacturing,Stone,9000 sq.m.,Not available,Not available,Second Line,Common from the Street,"Արտաշատի խճուղի 1/1, Երևան","$550,000",USD,It is located on the highway leading to Yerevan Yeraskh. There is 9850 square meters of land in the Artashat part of the city.He is also provided with a partial rentTranslated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/16029312
Retail Space,Stone,100 sq.m.,,,,,"Dprocakanner alley, Masis","$60,000",USD,"Urgently for sale commercial area in Masis. All utilities are available, there is three-way electricity. For details call and visit our office.Code 2301707Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16879662
Everything Else,Stone,8 sq.m.,Not available,Not available,Other,Common from the Courtyard,Ararat › Vedi,"$450,000",USD,"Travertine mine for sale with an area of 8 hectares, the mine is operating, all the necessary documents and licenses are available, the price includes equipment2 housesկռան կռազ 20 տ.1 word. Car 2 m.2 pieces of truss1 bulldozer T1701 haf Persian buravo1 three-phase compressorseparate pastetachylo swing machine and other equipmentThe mine has constant electricity and lamb waterAlso exchange with real estatesold all together no one is sold separatelyTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17269065
Retail Space,Stone,1300 sq.m.,,,,,"Gortsaranain street, Masis","$8,500",USD,"Land for sale in Masis, suitable for building a house in Masis station. For details, call and visit our Masis office.Code 23019Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16009996
Everything Else,Stone,970 sq.m.,Not available,Not available,First Line,Separate from the Street,Ararat › Masis,"$450,000",USD,"Վաճառվում է ձկնաբուծարան Մասիսի Զորակ գյուղում։Տարածքը ամբողջությամբ պարսպապատ է; / 9700քմ /Վաճառվում է ձկներով և առանց (ձկնատեսակներ՝ ստերլետ, իշխան) ։Ընդհանուր մակերեսը 9700քմ է, 11 լողավազան-5000քմ, 50լ/վ-ջուր։Ունի մանրաձուկ ստանալու առանձին սենյակ, 3 ավազային արտիզան, անասնագոմ, պահեստ, վարչական շենք, աշխատողների համար նախատեսված սենյակ, օդորակիչ;Առկա է անվտանգության համակարգ։Մանրամասների համար զանգահարեք․Կոդ H-0002",Nov-24-2022_22-00,,https://list.am/en/item/13093570
Industrial and Manufacturing,Stone,8100 sq.m.,,,,,"Yerevan-Meghri highway, Ararat Province","$295,000",USD,Near the city of Artashat (on the Yerevan-Meghri highway) industrial area on which construction is allowed is suitable for a gas and gas station. First line.Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/18155619
Agricultural Space,Stone,3000 sq.m.,Not available,Not available,Other,Common from the Street,"Yerevan-Artashat roadway, Ayntap Border","100,000,000 ֏",AMD,"A newly built greenhouse is for sale in the beginning of Aintap, near the North-South Marihu. The greenhouse is 3000 square meters equipped with the latest technologies. It has a separate boiler house, warehouse, etc. (180 square meters) It is in very good condition. The price is not negotiable.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18314920
Agricultural Space,Stone,5000 sq.m.,,,,,Ararat › Ghukasavan,"$450,000",USD,"Greenhouse 4000 sq m, 1000 sq m storage area with office for saleTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18303810
Industrial and Manufacturing,Stone,1400 sq.m.,Not available,Not available,Second Line,Separate from the Street,"Kentronakan street, Argavand","$350,000",USD,"Existing business, production area for saleAvailable: 1. Furniture production2. Production of doors and windows.3. Shop: Sale of furniture materialsThe business has a stable market and regular buyers.We have many years of experience in the field of furniture and many customers.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/14259586
Building,Stone,1300 sq.m.,,,,,Ararat › Ararat,"$15,000",USD,It is in normal conditionTranslated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/18360017
Industrial and Manufacturing,Stone,1000 sq.m.,,,,,Ararat › Hovtashat,"$29,000",USD,"Located on the main road near Mehmandar market, convenient for any activityTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18300271
Retail Space,Stone,25 sq.m.,,,,,"Khanjyan street, Ararat","$16,000",USD,"The existing beer house is for sale. On Khanjyan street in Ararat, next to the stadium, it will be sold with equipment along with the business if desired. Call in case of questionsTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18305002
Industrial and Manufacturing,Stone,4400 sq.m.,,,,,"1st Street, Nor Kharberd","$320,000",USD,"Existing business for sale: Land 4400 square meters, all fenced, building 290 square meters. Operates as a poultry farm. The area has electricity, constant hot and cold water, irrigation water, bathroom.Optional documents will be provided if desired.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16982213
Retail Space,Stone,31 sq.m.,Available,Not available,First Line,Common from the Street,"Masisi St 31, Yerevan","$31,000",USD,Магазин дом в харошм састаяние,Nov-24-2022_22-00,,https://list.am/en/item/15943933
Retail Space,Stone,300 sq.m.,,,,,"Արտաշատի խճուղի 100/3, Երևան","1,000,000 ֏",AMD,"It is for rent. It has a gas oven, a grill, an electric stove, a shawarma machine, refrigerators. The outdoor area is 200 square meters.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17597747
Multifunctional Space,Stone,120 sq.m.,By agreement,Not available,First Line,Common from the Street,Ararat › Masis,"50,000,000 ֏",AMD,"Masis central square. Secured with all utilities, publicTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17452886
Building,Stone,72 sq.m.,Not available,Not available,First Line,Common from the Courtyard,"Երևանյան փողոց 1, Արտաշատ","$60,000",USD,"A 3-room apartment is for sale in Artashat, on the first floor, in the center. It has all utilities, it is renovated, the doors and windows have been changed, it has a separate storage room in the house, there is an open balcony, the price also includes a garage. The price is $60,000Code 11111Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/15906459
Multifunctional Space,Stone,160 sq.m.,,,,,"Abovyan street, Ararat","$80,000",USD,"The area is located at 5 Abovyan, Ararat city, 150 square meters, has a spare part, bathroom, toilet, three-phase electricityTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17397578
Industrial and Manufacturing,Panels,8000 sq.m.,Available,Not available,First Line,Separate from the Street,"Yerevan-Artashat roadway, Arevabuyr","$85,000",USD,Urgently negotiable suitable for any type of activity as well as for building a house for sale.Translated from Armenian,Nov-24-2022_22-00,OUtdoor parking,https://list.am/en/item/17490216
Functioning Business,Stone,"15,000 sq.m.",Available,Not available,First Line,Common from the Street,Ararat › Jrashen,"$135,000",USD,"Livestock farm for sale. (ferma anasnagom) The area has three-phase electricity for drinking and irrigation water, a bathroom, a stone house for the staff of 40 square meters. Automated milking parlor, 1'5 ha, land with its own apricot and plum trees. The total area consists of two plots, 10,000 for production and 5,000 for village. All with certificate and cadastre registrationgom ferma. Xelaci anasnagom:Smart farm. Farm farm. AnasnagomTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16211255
Agricultural Space,Cassette,7000 sq.m.,,,,,"6-րդ փողոց 11, Ջրահովիտ","62,000,000 ֏",AMD,"Վաճարվում է զկնորսական լճերԸնտանեկան հանգստի գոտու գործոխ բիզնես լճերում արկա է կառփ սազան բելիամուռ լոքո կարաս եվ այլ զկնատեսակներ տարածքում առկա է տեսախցիկներ տարացքում առկա է բեսետկաներ ընտանեկան հանգստի համար... Մանրամասների համար զանգահարել ՍերոժПродаётся рабочий бизнес с двумя озёрами, для рыбной ловли и семейного отдыха. В озёрах присутствуют, сом карп, сазан, карась, голавль и другие особи. Также имеются беседки для отдыха семьями. Имеются камеры наружного наблюдения. Для получения полной информации звонить по указанному номеру телефона.",Nov-24-2022_22-00,,https://list.am/en/item/18034529
Functioning Business,Stone,3200 sq.m.,,,,,Ararat › Masis,"$470,000",USD,"Gas station, Liquid gas, gas station, car wash (wash yourself) For more information call.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18110446
Restaurant,Stone,870 sq.m.,Not available,Not available,First Line,Separate from the Street,"3-րդ փողոց 1, Մասիս","90,000,000 ֏",AMD,"Public construction area for sale, land area 870 sq. M., of which 350 sq. M. Building, 3-storey building, each floor 350 sq. M. Was intended for a restaurant or children's cafe, but you can change the order on Yerevan-Artashat highway (North-Haraf highway) address c. Masis 6th district, 1st street 33. Three-phase light, gas must be passed through the street, water documents must be pulled, there is sewerage, a separate water well has been drilledTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17488883
Retail Space,Panels,100 sq.m.,By agreement,Not available,First Line,Separate from the Street,"Ծովակալ Իսակովի փողոց 76Բ, Արտաշատ","40,000,000 ֏",AMD,"Commercial area in the regional center of Ararat region, Artashat, Isakov street, beginning of line 1, building 1Shosh առաջին The first building on the main road near Artashat Isakov Animal MarketHas semi-basement natural gas 2 points light lamb drinking water hot water bath bathroom separate room commercial area storage basementShosh has entrance through 2 doors, entrance doors from the courtyard, windows, eurobright box shopwill work dental clinic hairdresser pawn cocktail bistro and etc.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16265969
Functioning Business,Stone,2400 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Ararat › Marmarashen,"$80,000",USD,"Existing business for sale.There are 3 stone residential buildings in the area.It is provided with irrigation, drinking and avisi water supply.There are barns where it is convenient to keep and breed a variety of animals (chickens, hens, chickens...)Code 9450Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17616476
Functioning Business,Stone,49 sq.m.,,,,,Ararat › Artashat,"$70,000",USD,Оснавная плошад 49кв + 60кв впереди обекта + 60кв подвал даний момент ето стоматология но удобно под любой бизнес и сдам под ареду,Nov-24-2022_22-00,,https://list.am/en/item/18050426
Agricultural Space,Stone,15 sq.m.,Not available,Not available,Other,Separate from the Street,"Հանրապետության փողոց 26, Արմաշ","$90,000",USD,"9 hectares (90.000 sq. M.) with ribalovite, operating for 15 years, exchange only with equivalent land up to 100-250 square meters in a busy area, do not call pointlessly, the price is already negotiated, village Yeraskhavan Exchange lich lcher dzknabucaran gorcox biznes 17 tari operating businessTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/15730982
Industrial and Manufacturing,Bricks,52 sq.m.,,,,,Ararat › Masis,"350,000 ֏",AMD,"Shelving is used for champignon mushrooms, all materials are fresh, fresh, used, all painted, 4 pieces, 3 floorsLength 3.50Width 1.20Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/14218321
Retail Space,Stone,109 sq.m.,,,,,"1-я улица 11, Гетапня","$39,000",USD,"For details, call either Viber or Whatsapp...I will listen to your suggestions.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/13352613
Building,Stone,90 sq.m.,,,,,"Araratyan street, Nor Kyurin","$1,000",USD,"The building is located in Nor Kyurin the community, 2-storey, the total area is 90 sq. M.Also, 1000 square meters of land in front of the building. The building is located in the center of the village.Price is negotiable.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/9077333
Multifunctional Space,Stone,540 sq.m.,Available,Not available,First Line,Separate from the Street,"Yerevan-Meghri highway 2, Mkhchyan","$450,000",USD,"An operating restaurant complex is for sale on the 1st line of Yerevan-Meghri interstate M2 road, only 6 km away from Yerevan. The total area is 11,300 square meters, the purpose of the land is industrial, of which 1,500 square meters is the restaurant area. The area of the buildings is 540 square meters, which includes 9 closed private rooms for 6-16 people, pavilions with 2 outdoor seats, each for 6-8 people, there is a cafe for 10-12 people in the lobby, a hall of newly built celebrations: For 80 people, where only the interior works are left to be done. The area has a large parking lot for 40 cars. At the beginning of the parking lot, near the highway, there is a fast food service point. In a part of the land there are 16 swimming pools for fish production, with an area of 2500 square meters with their pipelines. The area is completely fenced, has a separate electricity. Station, sewer, guard house, separate storage area of 150 square meters, designed for refrigerators. The restaurant complex is for sale together with the property and equipment.Translated from Armenian",Nov-24-2022_22-00,OUtdoor parking,https://list.am/en/item/13121083
Warehouse,Stone,18 sq.m.,,,,,Ararat › Vedi,"$8,000",USD,Fruit refrigerator in the yard of an apartment building.Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/17967388
Industrial and Manufacturing,Stone,3000 sq.m.,,,,,Ararat › Masis,"$380,000",USD,"Can serve as a production area, currently operates as a vodka factory. All documents are available.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17914513
Everything Else,Stone,"10,000 sq.m.",,,,,Ararat › Ararat,"$120,000",USD,"Address: Ararat region,Area: 10,000 square meters800 square meters building7000 square meters fence3000 square meters without a fenceAvailable in the area:Three-phase currentWater 50 m awayThe area served as a community Tractor ParkClose to homeThe distance from the main road is about 500 mCode: AH-K209:Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/15118291
Everything Else,Stone,2000 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"Улица Паруйра Севака 1, Даштаван",$100,USD,A plot of land is for sale. A greenhouse is built on it from stone. The land is close to the houseTranslated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/18295311
Industrial and Manufacturing,Stone,1730 sq.m.,Not available,Not available,First Line,Separate from the Street,Ararat › Masis,"$450,000",USD,"Production land area 12000 sq/m.Tent building 1730 sq/m. Building dimensions, width 24m.The length is 72 mThe height is 11 mThe area is asphalted.The building has high pressure gasStreamSewerageWaterTranslated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18008348
Industrial and Manufacturing,Stone,"20,000 sq.m.",Not available,Not available,First Line,Separate from the Street,Ararat › Artashat,"$730,000",USD,"25 km from YerevanThe total area is 21,400 square meters. M.4.000 sq. M. Building constructionEntrance from Artashat highway, first line. FencedAdministrative building - 1737.5 sq. M.Workshop - 1279.6 square meters. M.Workshop - 861.6 sq. M.Water reservoir - 127.6 sq. M.Water reservoir - 127.6 sq. M.Building - 63.7 sq. M.Building - 212.4 sq. M.Building - 36 sq. M.Building - 16.5 sq. M.Building - 45.8 sq. M.Building - 141.8 sq. M.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17982787
Multifunctional Space,Stone,7000 sq.m.,,,,,Ararat › Nor Kharberd,"$2,250,000",USD,"A unique multi-functional public and residential area is for sale in Yerevan-Artashat highway, in Nor Kharberd.The total area of the land is 7,000 square meters.The total area of the kindergarten and residential house is 1214.5 square meters.Wall: 132 sq. M.The territory of the kindergarten consists of 3 buildings.The living area is a short distance away in a separate structure with its own outdoor stone pavilion, plantings and swimming pool.The residential house is renovated and equipped with furniture and appliances.It consists of:From the large spacious living roomFrom the kitchenFrom the bathroomFrom the saunaFrom the dressing roomIn the building of the main part of the commercial area, there is again Euro-renovated and furnished:Living roomKitchenBedroomsBathrooms and other free spaces.Apart from all this, there is a small farm next to the buildings, equipped with various animals and birds.The entire area is under video surveillance.Next to the buildings there is also a parking space for 6 cars with a roof.There is also a guard post.Code AH-K54Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17406712
Functioning Business,Stone,270 sq.m.,,,,,"Yerevan-Artashat roadway, Arevabuyr","$46,000",USD,"An operating car wash is for sale on the central highway of Jrahovit village, Ararat region, on the central highway of Yerjan-Artashat national significance highway. It is provided with all the necessary equipment (new engines, vacuum cleaners, air filling equipment for wheels, tank for storage of 5 tons of water, three-phase electricity, video equipment, separate room) The total area is 270 square meters, the length of the front part is 18 meters. The importance of land for public-construction. Suitable for other activities as well. It is possible to exchange with a car worth $ 10,000 for an additional fee.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17411259
Multifunctional Space,Stone,1000 sq.m.,,,,,Ararat › Ararat,"$28,000",USD,"A stone building is for sale on Yerevan-Meghri highway in the area of Ararat village. The building can be used as AUTO SERVICE, SHOP, CAR WASHING POINT, VULCANIZATION POINT, etc. The building area is 1000 sq. M. The price is negotiable. As a vulcanization point, call for details.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16998861
Functioning Business,Stone,1000 sq.m.,Available,Not available,First Line,Common from the Street,"Երևանի խճուղի 2/1, Բյուրավան","$95,000",USD,"Existing business for sale in Byuravan. The business includes: Car drying platform, 2 car wash points, Gas station, Taxi service with 3 cars, Combined feed, Building materials store, office, newly renovated.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17286774
Everything Else,Stone,4400 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Ararat › Nor Kharberd,"$320,000",USD,"Կոդ՝ B-21264Վաճառվում է արտադրական տարածք (թռչնաբուծական ֆերմա) Նոր Խարբերոդում։ Տարածքը վերանորոգված է, շինության մակերեսը՝ 290քմ։ Մուտքի դուռը՝ ապակեպատ, պատուհանները՝ եվրո։ Ունի խոհանոց, սանհանգույց, օդափոխության համակարգ, հոսանք, մշտական ջուր։ Վաճառվում է թռչնաբուծության համար անհրաժեշտ սարքավորումներով, տարածքներով և առկա թռչուններով (3 ջայլամ, 300 հավ) ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։Production area (poultry farm) for sale in Nor Kharberd․ The area is renovated, the area of the building is 290sq. M. The entrance door is glass-made, the window are euro-based. The area has a kitchen, bathroom, ventilation system, electricity and is supplied with constant water. The area is being sold along with appropriate equipment for poultry farming, areas and birds (3 ostriches, 300 chickens)The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_22-00,,https://list.am/en/item/14848212
Industrial and Manufacturing,Stone,2380 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Ararat › Nor Kharberd,"$180,000",USD,"Կոդ՝ B-15941Վաճառվում է արտադրական տարածք Նոր Խարբերդում։ Տարածքն ունի արտադրամաս, պահեստներ, խոհանոց, սանհանգույց, ավտոտնակ, պահակակետ, վարչական շենք՝ ձևափոխված բնակելի տան։ Ապահովված է մշտական ջրով, գազով։ Տարածքը հարմար է նաև սպանդանոցի համար։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A production area is for sale in Nor Kharberd. The territory has a workshop, storage, kitchen, bathroom, garage, guard room, 2-storey administrative building, modified to residential house, separate power substation. The area is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_22-00,,https://list.am/en/item/12553198
Industrial and Manufacturing,Stone,300 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Ararat › Ayntap,"$40,000",USD,"Ayntap village, Ararat regionArea of 00/180 square meters1 line20 meters frontThe building is made of monolithic concrete and can be used as a workshop for other businessesCode BB911Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17448426
Retail Space,Stone,800 sq.m.,Not available,Not available,First Line,Common from the Street,Ararat › Argavand,"$145,000",USD,"Commercial area for saleYerjan, Argavand• 800/106 square meters• 1 storey_•renovated• Euro windows• Two-way access• Near the main street• 120 sq. M. Area is a semi-constructed building• Leased for AMD 400,000Code AH058Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17496356
Functioning Business,Stone,4000 sq.m.,,,,,Ararat › Vedi,"$650,000",USD,"Commercial space for sale in Vedi. The total area of the land is 40,000 square meters. The area is completely fenced. There are 4 lakes, 2 of which are 1500 square meters, 1200 square meters and 400 square meters, the depth is 2 meters. There are trout fish in the lakes.A house with an area of 87 square meters has been built, in which there are:2 bedrooms1 living room1 kitchen1 bathroomguard post* 4000 square meters: Saffron flower.* 8000 square meters of watermelon.The importance of the land: 39,500 square meters are agricultural, and 500 square meters are for residential construction.All communications are available: Electricity, water, 10 KV solar system, irrigation water.Selling price: 650,000 USDCode: AH-K63Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18332988
Industrial and Manufacturing,Panels,7400 sq.m.,,,,,Ararat › Vedi,"$350,000",USD,"Վաճառվում է 7400 ք. Մ. Հողատարածք (շինություներով) Վեդի քաղաքում: Հարմար է արտադրամասի, բնակելի համալիրի, առևտրային տարածքների, ցանկացած տեսակի գործունեության համար:",Nov-24-2022_22-00,,https://list.am/en/item/15863221
Industrial and Manufacturing,Wooden,"15,000 sq.m.",Not available,Not available,Other,Separate from the Courtyard,Ararat › Ghukasavan,"$36,000",USD,"Ararat region v. Ghukasavan15,000 square meters, 1.5 hectares, operating pig farm complex,With its necessary accessories.1 km away from Yerevan,Can be used for other purposes and for businesses.Below marketCode BB846Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/17252858
Multifunctional Space,Stone,1000 sq.m.,,,,,"Artashat roadway, Dimitrov","$120,000",USD,"Վաճառվում է կոմերցիոն տարածք Արտաշատյան խճուղու Դիմիտրով գյուղում, հիմնական ճանապարահին, խաչմերուկի վրա:Հարմար է ցանկացած գործունեության համար:Ընդհանուր մակերեսը 1000քմ, Շինության մակերեսը 665քմ:Ունի կոսմետիկ վերանորոգման կարիք. Մանրամասների համար զանգահարել.Продается коммерческая площадь в селе Димитров, Арташатянское шоссе, на главной дороге, на перекрестке.Подходит для любой деятельности.Общая площадь 1000 квадратных метров, площадь застройки 665 квадратных метров.Требуется косметический ремонт, подробности по телефону.",Nov-24-2022_22-00,,https://list.am/en/item/17258733
Industrial and Manufacturing,Monolith,1500 sq.m.,,,,,"Myasnikyan street, Artaxata (Artashat)","$100,000",USD,Object of industrial significanceTranslated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/16568765
Multifunctional Space,Stone,1200 sq.m.,Not available,Not available,First Line,Common from the Street,Ararat › Geghanist,"$120,000",USD,"Geghanist village, Ararat regionwith an area of 1200/250 square meterstwo-story business spaceAll rooms are available for rentThere is also a car service point1st lineCode BB1093Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18125363
Everything Else,Cassette,42 sq.m.,By agreement,Not available,First Line,Common from the Street,"Araratyan street, Artaxata (Artashat)","$11,000",USD,Newly made mobile cottageLength -12 m (we also have a length of 6 m)Width -3.5 mHeight -2.6 m.Walls of your preferred size and design are accepted: 1 sq. M. Starting from $ 300Made of sandwich panels (with polyurethane core)Translated from Armenian,Nov-24-2022_22-00,,https://list.am/en/item/15853583
Industrial and Manufacturing,Stone,2500 sq.m.,Not available,Not available,Other,Separate from the Street,Ararat › Nor Kharberd,"$300,000",USD,"An operating dried fruit factory with an area of 2500/1100 square meters is for saleArarat, Nor KharberdRefrigeratorDryerTwo-storey buildingSwimming poolFenceSold with all the propertyCode BB405Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/16241195
Industrial and Manufacturing,Stone,1528 sq.m.,Not available,Not available,First Line,Common from the Street,Ararat › Vedi,"$80,000",USD,"Former barns made of stone, ceiling made of pequez, roof made of slate. Suitable for any type of activity: Warehouse, workshop, barn. It also has 1800 sq. M. Land area. Call if you have any questions.Translated from Armenian",Nov-24-2022_22-00,,https://list.am/en/item/18087909
