Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links
Industrial and Manufacturing,100 sq.m.,Kotayk › Kasagh,"120,000 ֏",AMD,"Semi-basement area 100m. Suitable for production, storage or other activities.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17890441
Everything Else,600 sq.m.,"Կոտայքի փողոց 10, Բյուրեղավան","15,000 ֏",AMD,"Summer house for daily rent in Byureghavan, 18 km from Yerevan, there is gas, dynamic, the pavilion is designed for 30 peopleTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17854480
Everything Else,30 sq.m.,Kotayk › Byureghavan,"60,000 ֏",AMD,RentFor more information callTranslated from Armenian,Nov-24-2022_22-04,By agreement,Not available,First Line,Common from the Street,Direct Lease,3 months,2 months,Not included,,https://list.am/en/item/17679993
Restaurant,1000 sq.m.,"Zoravar Andranik avenue 3, Hrazdan","$180,000",USD,For sale (Wedding house) banquet hall 1000 square meters capital renovation has rooms 4 basements large area renovated Hayat is currently working as a banquet hall area is located near the center post office for sale together with the property also it is possible to rent only to organizationsTranslated from Armenian,Nov-24-2022_22-04,Available,Not available,First Line,Common from the Street,Direct Lease,6 months,6 months,By Agreement,,https://list.am/en/item/16603964
Industrial and Manufacturing,180 sq.m.,Kotayk › Mrgashen,"95,000 ֏",AMD,"I offer a production area, suitable for carrying out various production activities. It is provided with three-phase electricity, drinking water, irrigation water. The workshop is located on a 2000 meter plot of land, there are fruit treesTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16096081
Hotel,24 sq.m.,"Միկրոշրջան թաղամաս 1, Հրազդան","20,000 ֏",AMD,"Сдаётся в аренду двухместны номер с гаражом.Удобства в номере: Двухспальная кровать, ванная комната.Еда отдельно, есть быстрая доставка еды для Вас (вкусная кухня)В районе доступны точки быстро еды, супермаркеты.Долгосрочная аренда 1 день - 20.000 драм.Город Раздан Микрорайон 3-улица 3/3",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17492843
Retail Space,15 sq.m.,Kotayk › Ptghni,"70,000 ֏",AMD,"For rent, Arach line, call for details, in front of Mets Aniv, there is also a basement, 2.60x7 metri vraTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18124914
Everything Else,24 sq.m.,Kotayk › Nor Yerznka,"60,000 ֏",AMD,"Սառնարան, մրգերի համար 24 տոննա տարողությամբ հարցերի դեպքում զանգահարել նշված համարին",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17773586
Industrial and Manufacturing,90 sq.m.,Kotayk › Charentsavan,"30,000 ֏",AMD,It is provided with three-phase electricity with drinking waterTranslated from Armenian,Nov-24-2022_22-04,Not available,Not available,Other,Common from the Courtyard,Direct Lease,1 year,1 month,Not included,,https://list.am/en/item/17909787
Industrial and Manufacturing,75 sq.m.,Kotayk › Proshyan,"130,000 ֏",AMD,"A production space is for rent in the village of Proshyan. It is equipped with gas, hot and cold water, three-phase electricity. For more information call.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18050254
Hotel,4500 sq.m.,Kotayk › Aghveran,"230,000 ֏",AMD,"Aghveran Eco Guesthouse facebook page2-storey house for rent on Aghveran road, has a swimming pool, all communal facilities, 7-10 people can stay in the house, beautiful view to the gorge, river, we have pavilions for 40 people, bisets, fireplace, fireplace, swings, if desired we provide breakfast eco food, find us / Aghveran Eco Guesthouse / our Facebook page details there... You can arrange birthday and other happy occasions with us... We provide live music, DJ... We accompany our guests and Arzakan healing mineral hot water Cnndyan ev ayl mijocarumneri kazmakerpum, dj, Axveran... Aghveran... Hyuranoc... Hyuratun... Bisetka... Taxavar... Taghavar... Arzni... Hanqavan... Tsaxkadzhor... Jermuk... Dilijan... Ijevan... Sevan... Arzakani bujich taq hanqayin jur... Aghveran. 20 000 price for the mentioned pavilion we have pavilions of different sizes and stylesTranslated from Armenian",Nov-24-2022_22-04,Available,Not available,Second Line,Separate from the Courtyard,Direct Lease,1 month,By Agreement,Included,,https://list.am/en/item/14119525
Office Space,100 sq.m.,"Yeritasardakan street 18, Abovyan","200,000 ֏",AMD,"A public space is for rent in Abovyan, on Yeritasardakan street, 2nd floor, with a separate entrance. Communication with all amenities. It is a new building, it has not been used yet. A security system and video cameras are also installed.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17364768
Retail Space,30 sq.m.,"Hatis street, Abovyan","65,000 ֏",AMD,"Basement, separate entranceTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17513809
Warehouse,3000 sq.m.,Kotayk › Kasagh,"2,000,000 ֏",AMD,"Rent your personal storage.Individual or professional, we offer a wide selection of storage spaces from 2 to 50m2.Your belongings are kept safe in our center equipped with 24-hour security cameras.Our services include: Moving, archiving, maintenance of professional equipment, etc.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18160732
Building,150 sq.m.,Kotayk › Hrazdan,"130,000 ֏",AMD,"Hrazdan micro-district is for rent on the 13th floor. It is suitable for dance, fitness and other courses on the 2nd floor. Is located at micro number 3Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,3 years,Without prepayment,By Agreement,,https://list.am/en/item/17351313
Office Space,35 sq.m.,"5-րդ փողոց 105, Հրազդան","80,000 ֏",AMD,"Office area. Commercial area. Business center in Hrazdan, 35 + c. M:Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18362558
Everything Else,2000 sq.m.,Kotayk › Abovian,"$45,000",USD,"For sale 10 km away from Abovyan city160 sq. M. Cattle barn,2000 square meters. With an orchard.It is provided with water and electricity.Price is negotiable.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,Other,Separate from the Courtyard,Direct Lease,5 years,Without prepayment,By Agreement,,https://list.am/en/item/16574606
Multifunctional Space,70 sq.m.,"Daran street 3, Abovyan","160,000 ֏",AMD,"The area can be used as a shop, office, classroom, for other purposes. There is water, electricity, internet.It is located next to the second school and Daran 3 building, on the street.Sale is possible.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17441228
Multifunctional Space,1100 sq.m.,"Gevorg Chaush street, Yerevan","$1,500",USD,"A 2-storey commercial area of 1100 sq. M. Is for rent on the first line near the former Ministry of Defense near the Yerjan Ashtarak highway. Մ. Total area: The area is in good condition. Euro windows, air conditioner, metal door are installed, the floor is covered with laminate and chromogranite. It is provided with constant water and gas supply. It is heated by a heating system. The bathrooms are tiled, equipped with sanitary ware.Code 17915Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Courtyard,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/17433368
Office Space,50 sq.m.,"Zovuni 6 street, Zovuni","150,000 ֏",AMD,"The building is located on the first line of Yeghvard Street in Zovun.50 + sq m area, renovated, uncultivated. ^^Call for details1 streetOffice spaceFrom 50 square meters to 170 square metersTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17539038
Retail Space,10 sq.m.,Kotayk › Kasagh,"50,000 ֏",AMD,"A commercial space for rent, a bistro fresh coffee shop is located next to the gas station.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18346769
Warehouse,85 sq.m.,Kotayk › Zovuni,"100,000 ֏",AMD,"It has water, single-phase electricity, no walls inside, high ceiling, additional space above. It is located on the road. Call Viber or WhatsAppTranslated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/18280279
Hotel,100 sq.m.,"Улица Комитаса 2, Нор Гехи","10,000 ֏",AMD,"Сдается в аренду! Мини гостинница! В живописном месте, рядом с санаторием Арзни, недалеко от Балаовит и Абовян! 15 минут от Еревана! Два двухместных номера с односпальными кроватями, один номер с двуспальной кроватью + 1 место добавочное!",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/12702679
Retail Space,42 sq.m.,"Երևանյան փողոց 6, Հրազդան","80,000 ֏",AMD,"42 sq/m commercial space for rent, in front of the newly renovated 1st school, Yerevanyan 6 building, 1st line, call viberTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18323235
Warehouse,20 sq.m.,"Քոչինյան փողոց 7/1, Ջրվեժ","50,000 ֏",AMD,The space is suitable for use as storageTranslated from Armenian,Nov-24-2022_22-04,Not available,Not available,Second Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/18205174
Warehouse,150 sq.m.,"Վազգեն Սարգսյանի փողոց 2, Քասախ","250,000 ֏",AMD,"Factory, warehouse. PROFITABLE OFFER Located in Kasakh, V. Sargsyan 2-28, on the 6th kilometer from the intersection entering Kasakh (5 minutes from Yerevan to Ashtarak) 500 sq. M. Yard part in front of the entrance for furs. It has three-phase current, round-the-clock water supply, san junction, (with gas) #warehouse for rent, workshopTranslated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/18303890
Everything Else,18 sq.m.,"Երևանյան փողոց 1/3, Հրազդան","35,000 ֏",AMD,"Commercial area is for rent in Hrazdan, on Yerchanyan street, next to Ardshinbank. The area is 18 square meters, you can use it for different purposes.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17545330
Everything Else,485 sq.m.,Kotayk › Kasagh,"900,000 ֏",AMD,"D-22795Վարձով է տրվում կոմերցիոն տարածք Քասախ գյուղում ։ Տարածքը միջին վերանորոգված է, առաջին գիծ։ Մուտքի դուռը՝ ապակեպատ, մետաղյա, պատուհանները՝ եվրո, հատակը՝ պրես գրանիտ, էլ. Լարերը և խողովակները՝ փոխված։ Ունի խոհանոց, սանհանգույց, եռաֆազ հոսանք, մշտական ջուր և գազ։ Արժեքը՝ 900 000 դրամ:Գործակալության միջնորդավճարը կազմում է 25%: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։Commercial area for rent in Qasakh village. The area is middle renovated and is and is stationed on the 1st line. The entrance door is glass-made, the windows are euro-based, the floor is covered bysolid granite, the electric wires and pipes are newly changed. The area has a kitchen, bathroom, three-phased electricity and is supplied with constant water and gas.The commission of the Real Estate Agency is 25%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_22-04,Available,Not available,First Line,Common from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/18170389
Multifunctional Space,100 sq.m.,Kotayk › Zovuni,"700,000 ֏",AMD,"Կոդ՝ D-22345Վարձով է տրվում Կոմերցիոն տարածք Զովունու սկզբնամասում։ Ճակատի երկարությունը՝ 12մ։ Տարածքը կապիտալ վերանորոգված է, առաջին գիծ։ Տարածքն ունի մշտական ջուր և գազ։ Հնարավոր է մասնակի վարձակալություն 70քմ-350․000դրամ, 100քմ-450․000դրամ (2x50քմ-250․000դրամ) ։ Ամբողջ տարածքը միասին 500․000դրամ։Գործակալության միջնորդավճարը կազմում է 50%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։Commercial area for rent in Zovuni. The lenght of the area is 12m. The area is newly renovated and is stationed on the 1st line. The area is supplied with constant water and gas. Partial rent of 50sq. M, 70sq. M, 100sq. M is possible.The commission of the Real Estate Agency is 50%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You․",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/17941085
Multifunctional Space,820 sq.m.,Kotayk › Yeghvard,"$8,200",USD,"Կոդ`D-17819Վաճառվում է 820քմ բնակելի կառուցապատման նշանակության հողատարածք Եղվարդ ""Կանաչ Առու"" թաղամասում: Բոլոր կոմունիկացիաները մոտակայքում են: Ճակատի երկարությունը 20,5մ։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։820 sq. M residential meaning plot for sale in Eghvard ""Kanach Aru"". All communications are nearby. The front length is 20,5 meters.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You․",Nov-24-2022_22-04,Not available,Not available,Other,Common from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/14426241
Multifunctional Space,150 sq.m.,Kotayk › Yeghvard,"333,000 ֏",AMD,"Կոդ՝ D-19013Վարձով է տրվում 1 հարկանի կոմերցիոն տարածք Եղվարդում։ Տարածքը զրոյական վիճակում է, առաջին գիծ։ Մուտքի դուռը՝ ապակեպատ, պատուհանները՝ եվրո։ Ունի սանհանգույց, մշտական ջուր և գազ։ Հողատարածքը՝ 800քմ է։Գործակալության միջնորդավճարը կազմում է 50%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey commercial area for rent in Eghvard. The area is in zero condition and is stationed on the first line. The entrance door is glass-made, the windows are euro-based. The area has a bathroom and is supplied with constant water and gas.The commission of the Real Estate Agency is 50%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You․",Nov-24-2022_22-04,Not available,Not available,Other,Common from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/17278574
Office Space,300 sq.m.,"Առինջի 21-րդ փողոց 12, Առինջ","600,000 ֏",AMD,"Newly built private house, basement part 100 sq. M. M. And the taxes are 110 sq. M. They are two-story with a large hallWe will agree on the priceTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18317720
Automotive Service,60 sq.m.,"Առինջեցու փողոց 2, Առինջ","80,000 ֏",AMD,"The apartment has water, sewage, light, can be used as an auto tech service point, warehouse, shop, on the central road.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,By Agreement,,https://list.am/en/item/18195927
Hotel,110 sq.m.,"Safaryan street, Kasakh","130,000 ֏",AMD,"In Kasakh, 5 km from Yerevan, it has two-way access. There are 2 bathrooms, kitchen, internet. With communal facilities. It is suitable for collective workers, students. There will be discounts for large collectives.Translated from Armenian",Nov-24-2022_22-04,Available,Not available,First Line,Separate from the Street,Direct Lease,1 month,By Agreement,By Agreement,,https://list.am/en/item/17244792
Retail Space,450 sq.m.,"Улица Хачатура Кечареци 17, Цахкадзор","6,000 ֏",AMD,"Сдается арендодно из любимых мест цахкадзоре,3-х етажный новострой. Дом, на каждом етаже. Плошад 150кв, удобно для бизнеса, для ресторан, кафе, можно использоват как мотель.Сдается полностьювозможно отдельная аренда, цена аренда договорная.Подробности звоните или напишитеСпасибо.",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18292713
Industrial and Manufacturing,100 sq.m.,"2-րդ փակուղի 4, Բալահովիտ","150,000 ֏",AMD,"Space for any type of production is available for rent. The space is located in Balahovit, on the first floor of a two-story private house. The house is in the central part of the village, 100 meters from the post office. Water, electricity, gas, sewage. Call for other details. The price is negotiable.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18004242
Industrial and Manufacturing,500 sq.m.,Kotayk › Kasagh,"150,000 ֏",AMD,For rent.The area is suitable for storage and workshop. The territory has a herapaz. The area is completely monitored by cameras. The buildings are divided into different squares. It is located near the Red Cross.Translated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18336953
Everything Else,700 sq.m.,"Կոտայքի փողոց 1, Բյուրեղավան","95,000 ֏",AMD,Oravadzov Mansion in ByureghavanWith all amenitiesCall for detailsTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18133331
Automotive Service,2000 sq.m.,"Erevanyan street, Yeghvard","200,000 ֏",AMD,"Сдам или продам автосервис в ареду со всеми коммуникациями, в том числе 3-х фазовое электричество. Внутри есть подъемник для легковых машин, есть место для покраски машин, а так же огромная парковка, вместимомтью 15-20 машин. Помещение подойдет как под автосервис, так и под склад под производство. На втором этаже есть комната для отдыха, кухня. Звоните рассмотрю ваши предложения и варианты.",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18102546
Retail Space,25 sq.m.,Kotayk › Yeghvard,"$10,000",USD,"The area is for sale in the district committee, it is for sale urgently, the price is negotiableTranslated from Armenian",Nov-24-2022_22-04,Not available,Not available,Other,Common from the Courtyard,Sublease,5 years,6 months,Included,,https://list.am/en/item/17695383
Warehouse,95 sq.m.,"7-րդ փողոց 1, Նոր Երզնկա","25,000 ֏",AMD,"Refrigerator is provided for daily rent for fruit, dried fruits, flowers, etc.Suitable for small and medium entrepreneurs. Price is negotiable depending on the season and storage product. There are also 3 90 sq. M. And 75 sq. M. Refrigeration areas and storage areas. We offer padon rental. The cost of 1 padon is AMD 450 per day.The refrigeration areas are equipped with modern high-quality technology, which ensures -2 + 5 temperature for storing various products. It is located in Nor Yerznka community, 15 km away from Yerevan.Call for detailsAREA:Warehouse, workshopRefrigeratorTranslated from Armenian",Nov-24-2022_22-04,Available,Not available,Other,Separate from the Courtyard,Direct Lease,1 month,1 month,Included,,https://list.am/en/item/17155885
Warehouse,500 sq.m.,"4th microdistrict, Abovyan","350,000 ֏",AMD,The hangar is in a dry conditionTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17777177
Retail Space,33 sq.m.,"Մարշալ Բաղրամյան փողոց 31, Նոր Գեղի","100,000 ֏",AMD,Public space for any business. Mor Renovated according to European standards.Translated from Armenian,Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,2 months,Not included,,https://list.am/en/item/18088542
Automotive Service,110 sq.m.,"3rd microdistrict, Abovyan","100,000 ֏",AMD,"The car service point is located in Abovyan, next to the fire station. The building is equipped with a high security system, all commercial amenities are available (bathroom, permanent water, three-phase electricity)Available in the building:2 cranes1 hole (ямка)The height of the building is 4.5 meters.For all other details, please call the indicated phone number.Boxer khadavik electric democrat area car serviceTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17594862
Automotive Service,100 sq.m.,Kotayk › Hrazdan,"$27,000",USD,"The car service area is located in c. Hrazdan, Micro block, In the vicinity of the CASTLE restaurant complexThe area has 5 tons of Padomnik new generation and unusedHe has a box!$ 30,000 in case of saleIn case of rent 120,000 AMDTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16270470
Everything Else,150 sq.m.,"Թոմաս Էդիսոն փողոց 112, Քանաքեռավան","100,000 ֏",AMD,"The organization rents newly renovated commercial premises in Kanakeravan (4 km away from Davtashen) near the main road. The total area is 150 square meters (50 + 50 + 50) and spare 1500 square meters of open space. They are equipped with three-phase electricity, gas, water, wi-fi, etc. Security cameras are installed. Very suitable for car service or production. The rent for one space is AMD 100,000 per month.Translated from Armenian",Nov-24-2022_22-04,Available,Not available,First Line,Common from the Street,Direct Lease,9 months,By Agreement,By Agreement,,https://list.am/en/item/17523990
Multifunctional Space,40 sq.m.,"Կենտրոն թաղամաս 98, Հրազդան","70,000 ֏",AMD,"It is located in front of 98 cadastre room, suitable as a shop, office, etcTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18356819
Retail Space,300 sq.m.,"Yeritasardakan street 7, Abovyan","2,000 ֏",AMD,"Public space for sale or for rent (SHOP) 225 m2--300m2 in Abovyan city; On the 1st floor of a 5-storey building, on a busy street, next to the court and city bath; Ceiling height 3.30 m, front part 14.5 m, three-phase electricity, spare part with separate door; is subject to repair. Please see it and (All announcements of this person) section.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,5 years,By Agreement,Not included,,https://list.am/en/item/11051512
Warehouse,230 sq.m.,Kotayk › Zovuni,"300,000 ֏",AMD,"Newly constructed storage area. With three-phase current. Located 2 km from Davitashen. The total area is 450 sq. M:The area of the spare part is 230 sq. M:The area of free land is 220 square meters. M:Also possible sale for $90,000.For more information call:Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/18143410
Functioning Business,40 sq.m.,Kotayk › Abovian,"123,569 ֏",AMD,"Հացատունը գտնվում է Կոտայքի մարզ գյուղ Կամարիսում, թոնրատուն ունի դեժ 25 կգ, ունի թոնիր (փայտով վառվող), ունի եռաֆազ հոսանք, մշտական տաք և սառը ջուր վարձը պայմանագրային",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/15885002
Multifunctional Space,120 sq.m.,"Hatis St, Abovyan","650,000 ֏",AMD,"Gas, water, electricity, heating, security system, all conditions are available, the area can serve as a kindergarten, college, development or graduation center, beauty salon, it is given with or without property. For details, call before 21:00Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16773045
Agricultural Space,800 sq.m.,"Երիտասարդականի 2-րդ փողոց 1, Արամուս","200,000 ֏",AMD,"A farm for rent in the village of Aramus, has all amenities, gas, water, security system, 4000 m fenced area. Barn barns in Aramus farm barns for chickens and pigsTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18339227
Industrial and Manufacturing,250 sq.m.,Kotayk › Jraber,$100,USD,"Վարձով է տրվում գյուղատնտեսական նշանակության չօգտագործված կառույց: Կարող է ծառայել, ամբար, գոմ, տարբեր տեսակի ապրանքների պահեստների համար: Տարածքը գտնվում է Երևանից 25կմ հեռ վրա, Աբովյան քաղաքին մոտ գյուղում: Այն երբևիցե չի օգտագործվել, տալիս եմ շատ հարմար գնով վարձավճարով:",Nov-24-2022_22-04,Not available,Not available,Second Line,Separate from the Street,Direct Lease,1 year,3 months,Not included,,https://list.am/en/item/12268850
Warehouse,270 sq.m.,Kotayk › Abovian,"15,000 ֏",AMD,"Vaults, storage areas, garages with different surfaces are available, starting from 15 square meters in Kotayk region. 27 km from Yerevan.The area is provided with electricity and water.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,Second Line,Separate from the Street,Direct Lease,1 month,1 month,By Agreement,,https://list.am/en/item/18250488
Everything Else,100 sq.m.,"Կոտայքի փողոց 11, 3-րդ նրբանցք","120,000 ֏",AMD,Refrigerator. Minus 12 to 24. Details callTranslated from Armenian,Nov-24-2022_22-04,By agreement,Not available,First Line,Separate from the Courtyard,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/15181761
Retail Space,44 sq.m.,"Jrvezh 4-th street, Yerevan","200,000 ֏",AMD,"A grocery store is for rent in the Busy part of Jrvezh on the side of the road, along with all its property and equipment, it has a bathroom, air conditioner inside. To make a detailed arrangement, call the specified number. Urgent.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18145672
Office Space,25 sq.m.,Kotayk › Abovian,"200,000 ֏",AMD,It is in front of Dora market. Call for detailsIt is very urgent.Translated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18005367
Retail Space,20 sq.m.,Kotayk › Yeghvard,"70,000 ֏",AMD,"The area is suitable for use as a hairdressing salon, flower or food shop.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17030862
Multifunctional Space,520 sq.m.,"Սահմանադրության հրապարակ 39, Հրազդան","20,000 ֏",AMD,"Commercial areas for rent. It is very convenient for offices, beauty salons, dentists and other services. Areas come in a variety of sizes to suit your needs.The building is three-storey, euro-renovated, has heating, internet and other facilities.We can also provide it with furniture.Price is negotiable per square meter.Address: Q. Hrazdan, Center: Constitution Square: 39Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17829968
Warehouse,44 sq.m.,"1-ին փողոց 35, Վերին Պտղնի","120,000 ֏",AMD,A car service point (box) is for rent on the Yerevan Sevan highway section. You can use the space as a car service point or for other production purposesTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18290661
Industrial and Manufacturing,50 sq.m.,"7-րդ փողոց 23, Նոր Երզնկա","350,000 ֏",AMD,Fruit and vegetable packaging area and for other purposesCall for detailsNor Yerghnka 15 km away from the quarterTranslated from Armenian,Nov-24-2022_22-04,Available,Available,Other,Separate from the Courtyard,Direct Lease,6 months,1 month,By Agreement,,https://list.am/en/item/16997107
Retail Space,150 sq.m.,Kotayk › Hrazdan,"180,000 ֏",AMD,"An area of 150 sq/m is for rent in the microdistrict, the building is unfinished, it is suitable for starting different types of business, I will listen to your suggestionsTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18125731
Warehouse,70 sq.m.,Kotayk › Zovuni,"120,000 ֏",AMD,"First line, 41 street, high ceiling, it is possible to use workshop, hot and cold water, communal facilitiesTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17203242
Multifunctional Space,70 sq.m.,Kotayk › Abovian,"80,000 ֏",AMD,You can use rose petals as a store in a beauty salon office on the shelfTranslated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17123285
Warehouse,1115 sq.m.,"Eghvard highway, Yerevan","400,000 ֏",AMD,"50 meters from the central roadSizes 25-4130 square meter building completely renovatedThere is water, electricity and sewageFully fencedWith utilitiesvery suitable for every activityIron gate4.5 meters private roadonly those who really want to callA house with its carriage is for sale, the price is AMD 350,000Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,Second Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,,https://list.am/en/item/13131279
Retail Space,300 sq.m.,Kotayk › Hrazdan,"$1,200",USD,"A rented business center-market is for rent on the 42nd kilometer of the Yerjan-Shan highway, the trade center has had its customers for 3 years already, it has always worked on a 24/7 schedule. In addition to the shop, it includes a ready-made tonratun with an unused sieve, tonir with its own hall, wooden seats, and tables.There is a lavash mini-workshop in front of the market, and inside there is a very high quality Georgian purée tonir, you can use them if you wish.It is one of the unique objects on the highway that has its own water, gas, electricity. It is furnished with a bathroom, toilet, water heating boiler.The whole area is monitored both inside and outside with HD quality cameras, with the possibility of remote tracking.There is a rather big bus station in front.There are advertisements on the building like a screen where you can place your advertisement.After seeing the area, you will realize that the required fee is much lower than it really is. It has great potential to become the best կետ food outlet on the highway.And why do we rent if the business is so good, because the market requires attention, investment, time that we do not have at the moment, like he has other businesses that we are currently engaged in?Call for details and we will provide detailsTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17948478
Building,360 sq.m.,Kotayk › Hrazdan,"120,000 ֏",AMD,"Տրվում է վարձով արտադրական շենք։Հարմար է մեքենաների վերանորոգման, կահույքի, թեթեվ եվ մեխանիկական ադտադրության, ինչպես նաեվ պահեստային տարածքի համար։Բարձրությունը 4,5 մետրՉաբսերը՝ 12*30 մետրՈւնի եռաֆազ հոսանք",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/14033098
Retail Space,25 sq.m.,Kotayk › Arinj,"200,000 ֏",AMD,A booth is for rent in Arinj Mall. On the economic goods side.Translated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16936151
Hotel,340 sq.m.,"Տանձաղբյուրի փողոց 4/22, Ծաղկաձոր","$4,800",USD,"Комфортная гостиница с 9-и комнатами, у каждой комнаты есть своя отдельная ванная комната.Маленькая кухня, со всеми принадлежностями.Быстрый интернет5-и минутной ходьбы от центра городаохраняемая территорияприятный интерьер",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17496764
