Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Service Lines,Facilities,Appliances,Links
House,Bricks,100 sq.m.,2,4,3+,By agreement,Not available,Old Renovation,"Շերամ 2 թաղ 1-4Բ, Գյումրի","8,300,000 ֏",AMD,"A two-story brick cottage with a living area of 100 square meters is for sale in Marmashen highway (Mush 1 district), 2 hanging balconies, windows with bars, iron door, basement 36 square meters, attic, 3 bathrooms, k. B. H, gas, light, water, fenced yard, fruit trees, OWNED.Translated from Armenian",Nov-25-2022_00-23,140 sq.m.,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/18318472
House,Stone,100 sq.m.,1,2,1,Not available,Not available,Cosmetic Renovation,"Օզանյան փողոց, Գյումրի","$15,500",USD,"URGENT: Private house for sale near the stadium, privatized, permanent water, gas available, fenced yard, plot of land. Prepaid - Partially closedTranslated from Armenian",Nov-25-2022_00-23,,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/16375882
House,Stone,100 sq.m.,2,3,1,Not available,Not available,Partial Renovation,"Ozanyan street 1, Gyumri",$35,USD,"URGENT. The house is suitable for a workshop, has gas, water, electricity, orchard, the price is conditionalneeds interior decoration, if desired, the adjacent house will be sold, which also has a land of 60 sq. M. And a one-storey two-room apartment of 55 sq. M.Translated from Armenian",Nov-25-2022_00-23,120 sq.m.,,,,https://list.am/en/item/17827314
House,Wooden,44 sq.m.,1,2,1,,,Old Renovation,"Savoyan street, Gyumri","$3,000",USD,"2 Finnish cottages 3 × 6 for sale, adjacent stone building 2 × 6, it is possible to and live and move. There is water, light, sewerage. The area is not privatized. NOT NEGOTIABLETranslated from Armenian",Nov-25-2022_00-23,100 sq.m.,,,,https://list.am/en/item/17688298
House,Panels,112 sq.m.,1,4,2,,,Partial Renovation,"Freedom Square 13, Maralik","$16,000",USD,"Private house for sale ․ In Maralik. The house is partially renovated, has 4 rooms, 2 bathrooms, a kitchen, a basement under the kitchen. The address is collective farms street. The price is negotiable.Translated from Armenian",Nov-25-2022_00-23,140 sq.m.,,,,https://list.am/en/item/16692896
House,Stone,100 sq.m.,1,4,1,,,Major Renovation,"Հովհաննես Շիրազի փողոց 5/5, Գյումրի","$85,000",USD,"The house is located in the heart of the city, next to the Florence restaurant. It has high ceilings, very thick walls, and is in very good condition.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/18348366
House,Stone,94 sq.m.,1,7,1,Available,2 spots,Euro Renovation,Shirak › Pemzashen,"$42,000",USD,I will provide a phone number for those who are really interestedDetails Call or on the spotTranslated from Armenian,Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/17153655
House,Stone,275 sq.m.,2,6,2,,,Euro Renovation,Shirak › Artik,"$60,000",USD,"Private two-storey house is for sale in Artik city, on Isahakyan street (under the cross և) It is newly renovated, has all the communal facilities, heating system (ariston), 2 kitchens, 5 bedrooms, living room, bathroom and the bathroom is separate, it is spacious. For other questions, call the mentioned phone number. The house is for sale according to your wishes.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/15748967
House,Stone,240 sq.m.,2,6,2,,,Cosmetic Renovation,Shirak › Nahapetavan,"$31,000",USD,"A two-story private house with an area of 240 square meters in the village of Nahapetavan, Shirak marz. Stone wall, large plot of land. Semi-built cattle barn. Gas boiler and European window are installed.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/18195782
House,Stone,300 sq.m.,2,6,1,,,No Renovation,"Դերենիկ Դեմիրճյան փողոց 16/1, Գյումրի","$40,000",USD,"Gyumri, Gyumri, Gyumri - 2-storey house for saleFor sale very urgently. The house has two floors and needs cosmetic repairs. Has 2 garages, land with its fruit trees. There is constant hot and cold water. Exterior door is iron. Address: Demirchyan 6 houseTranslated from Armenian",Nov-25-2022_00-23,200 sq.m.,,,,https://list.am/en/item/17547020
House,Stone,300 sq.m.,2,6,1,,,No Renovation,"Դերենիկ Դեմիրճյան փողոց 16, Գյումրի","$40,000",USD,"I am selling a 2-storey private house on Demirchyan street, the house needs renovation.Translated from Armenian",Nov-25-2022_00-23,200 sq.m.,,,,https://list.am/en/item/17460988
House,Stone,250 sq.m.,2,8+,1,,,No Renovation,Shirak › Akhuryan,"$70,000",USD,The house for questions or bells is located in the Kulakavan districtTranslated from Armenian,Nov-25-2022_00-23,,,,,https://list.am/en/item/15740665
House,Stone,180 sq.m.,2,8+,3+,,,Partial Renovation,"Garegin A street, Gyumri","$120,000",USD,"A two-story hewn stone house has a basement with the entire surface of the house, the height of which is 2 m 30 cm. It has a garden with fruit trees, the area of which is 1500 square meters. The floor is paved with popok and oak.Translated from Armenian",Nov-25-2022_00-23,1500 sq.m.,,,,https://list.am/en/item/18090417
House,Stone,100 sq.m.,1,3,1,Not available,Not available,No Renovation,"Հակոբյան փողոց 67/1, Գյումրի","$55,000",USD,It is located 150m from Vardanants Square. At a distance. It is a historical and cultural structure. It has a stone basement of 25 square meters. M: Needs repair.Translated from Armenian,Nov-25-2022_00-23,,,,,https://list.am/en/item/18223620
House,Stone,120 sq.m.,1,4,1,Not available,3 or more spots,Partial Renovation,Shirak › Akhuryan,"8,300,000 ֏",AMD,"The house is well sunny, it is heated with gas stove, has a bath and toilet in the house, big yard for cars, yamka, garage barn, fruit trees, the rest of the issues are closed by call Shi is for sale negotiableTranslated from Armenian",Nov-25-2022_00-23,1300 sq.m.,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/16893545
House,Stone,120 sq.m.,2,3,1,,1 spot,Partial Renovation,"Անտառավան 4-րդ փողոց 1, Գյումրի","$18,000",USD,"Երկու հարկանի սեփական տուն, 1-ին հարկը քարաշեն է, 2-րդ հարկում տեղադրված են 2 ֆիննական տնակներ և 2 փակ պատշգամբ: Ապահոված է կոմունալ հարմարություններով, 1-ին հարկում կա սանհանգույց, խոհանոց և 1 քարաշեն և 1 մետաղյա ավտոտնակ: Բնակելի մակերեսը 120 քմ, այգի մրգատու ծառներով 750 քմ, անասնագոմ 18 քմ:Նույն հ/հ 098",Nov-25-2022_00-23,750 sq.m.,,,,https://list.am/en/item/18228405
House,Stone,290 sq.m.,1,3,1,Not available,Not available,No Renovation,"Karen Demirchyan street, Gyumri","$12,000",USD,"The land is located near the condominium, the house is uninhabitable, subject to demolition. , it is privately owned.Call for detailed information.Translated from Armenian",Nov-25-2022_00-23,290 sq.m.,,,,https://list.am/en/item/17811364
House,Stone,277 sq.m.,1,1,1,Available,1 spot,Old Renovation,"Ghorghanayn Street, Gyumri","$36,000",USD,"The house is located in the central part of the city, next to 14 street, with a separate yard, there are 3 houses with separate entrances in the yard, a part of which, 1 room with a separate entrance, is residential, there is a garage, needs renovation, garage 15 m2, privatized.Call for more information.Translated from Armenian",Nov-25-2022_00-23,167 sq.m.,,,,https://list.am/en/item/17953039
House,Stone,210 sq.m.,1,4,1,Not available,1 spot,No Renovation,"Furmanov street, Gyumri","$25,000",USD,"The house is located in the center, at the back of 14 street, has a small yard and garage, needs renovation. Living area 109 m2:Call for more information.Translated from Armenian",Nov-25-2022_00-23,50 sq.m.,,,,https://list.am/en/item/16613593
House,Stone,204 sq.m.,2,5,1,Not available,Not available,Old Renovation,"Լևոն Մադոյան փողոց 219Ա, Գյումրի","$36,000",USD,"The house is in normal condition, with all the communal facilities, next to Teryan street. It does not have a yard, a garage, the location of the house is east-west, the doors and are wooden, the floor is partially parquet. Basement 100 m2Call for more information.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/17891175
House,Stone,975 sq.m.,1,5,1,Available,2 spots,Euro Renovation,"Լալայան փողոց 70, Գյումրի","$90,000",USD,"A part of the private house was built after the earthquake, renovated, with all communal facilities, has a garage, basement, attic, beautiful and large yard, fruit trees, pavilion (besedka), video surveillance system is installed, the entrance gate is remote controlled.Garage 36 m2Basement 98 m2Call for more information.Translated from Armenian",Nov-25-2022_00-23,700 sq.m.,,,,https://list.am/en/item/17971615
House,Stone,105 sq.m.,1,3,1,By agreement,Not available,Partial Renovation,"Վահան Չերազի փողոց 2, Գյումրի","$30,000",USD,"The house is located in the central part of the city, 200 m from Vardanants Square. In the distance, near the garden, the ceiling is made of wood, the kitchen։ the bathroom is repaired, there is a heating system, the windows are Euro, with all the communal facilities. Exchange with a home car ($ 5-7,000) is possible. Apartment area 64 m2, basement 23.89 m2.Call for more information.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/16601949
House,Stone,498 sq.m.,1,3,1,Not available,1 spot,No Renovation,"Չեխովի փողոց 11, Գյումրի","$50,000",USD,"For sale, a private house is located in Noravan district, in the back of Converse Bank.$50,000The building type is stoneRooms 4Total area is 498 m2Living area 107 m2Attic 91 m2, garage 32 m2Basement 55 m2Land 350 m2The detached house was built after the earthquake, has an attic, a garage, a basement, and a large yard.Call for detailed information.Translated from Armenian",Nov-25-2022_00-23,350 sq.m.,,,,https://list.am/en/item/18233061
House,Stone,570 sq.m.,1,3,1,Available,1 spot,Euro Renovation,"Կոմիտասի փողոց 17, Ախուրյան","$20,000",USD,"The house is located in Akhuryan community, with all the communal facilities, in normal condition, with individual BAXI system, the windows are Euro, it has a well, a water pump is installed, there is an additional kitchen (bakery) in the yard, a cattle barn and an underground storage. Call for more information. Apartment area 99m2, Cattle barn 39.6m2, Bakery 12.6m2, Land total 570m.Translated from Armenian",Nov-25-2022_00-23,415 sq.m.,,,,https://list.am/en/item/15601618
House,Stone,500 sq.m.,1,6,1,,,Major Renovation,Shirak › Gyumri,"$80,000",USD,"Private house in Gyumri, on Khrimyan Hayrik street, the private house is located at the back of Nairi restaurant, east and west, consists of 5 rooms, 25 sq. M. Basement, a spacious yard with fruit trees, there are 2 rooms, a tonratun, a sauna in the yard; garage, with parking for 3 cars, there is another yard in the back of the house, the house is heated by a heating system, in the area you can develop your own business (shop, bakery), it is possible to exchange, in the city of Yerevan…Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/12211440
House,Stone,220 sq.m.,1,8+,2,By agreement,2 spots,Cosmetic Renovation,"Ջիվանի փողոց, Գյումրի","$85,000",USD,"Three fenced stone houses are for sale in the center of Gyumri city, at the intersection of Jivan and Alek Manukyan streets. A total of about 220 square meters. M. Living area and 1000 sq. M. Land, 2 bathrooms, 2 garages, 2 gardens, central heating, gas, electricity, hot and cold water, heating (BAXI), water heater, attic, storage room, 2 entrances, concrete roof, negotiation possible, cosmetic repairs.Price: Contract negotiable.Call Arman or Samvel.Details. The area is at the intersection of Jivan and Alek Manukyan streets• Building type and type Walled stone house• Number of floors 1 + insulated attic• Number of rooms 9 +• Garage 2• Pantry 3:• Bathroom 2• The total area is 220 square meters. M.• The area of the land is 1000 sq. M. M.• Repair to use for the same purpose - Partial cosmetic repair• It is also possible to transform it as a kindergarten, guest house, workshop, etcThe apartments are sold in 1 general transaction and are located next to the KAMELIA pastry factory.The first house is 92 sq/m, has 3 rooms and a tiled bathroom. An iron door, euro windows, individual heating system are installed, it has a basement and a 28 sq/m garage.The second house is 57 sq/m, has 2 rooms, a garage and a separate pantry. There is an iron door at the entrance, the kitchen and bathroom are tiled, it has an individual heating system.The third house is 92 sq/m, consists of 4/5 rooms. There is an iron door at the entrance, it has an individual heating system, a heat-insulated attic with separate rooms and a pantry.The mansion has 3 fenced yards with an orchard connected to each other, open and closed parking spaces, an area for summer recreation, 2 external entrances with an iron gate, one of which is also for a car.In the neighborhood there is a kindergarten, a school, many shops, a bakery, two intersecting main streets, etc. The place is calm, quiet and safe.Nearby places: Vardanants Square: 900m, Former Lenin Square: 500m, Gyumri Technocenter: 500m.Translated from Armenian",Nov-25-2022_00-23,1000 sq.m.,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/18197472
House,Stone,131 sq.m.,1,5,1,By agreement,2 spots,Partial Renovation,Shirak › Artik,"$23,000",USD,"The house is in good condition, it has all utilities, the yard is tiled, it has an orchard.For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-23,700 sq.m.,,,,https://list.am/en/item/18023148
House,Stone,91 sq.m.,1,4,1,Not available,2 spots,Old Renovation,"Մյասնիկյան փողոց 216, Գյումրի","$38,000",USD,"A house is for sale in the TEXTILE district, near Diagnostics. The total area of the building is 468 sq/m, the living area is 91 sq/m. The house consists of 4 rooms, of which 2 rooms have been renovated and are available for rent to the clinic. It is equipped with all necessary communications, the bathroom and the kitchen are tiled. There is a euro door, euro and wooden windows at the entrance. It has a yard with an orchard, a stone garage of 37 sq/m. There are a kindergarten, a school and many shops nearby. The place is quiet and peaceful.Translated from Armenian",Nov-25-2022_00-23,468 sq.m.,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/15756683
House,Stone,96 sq.m.,1,4,1,Available,1 spot,Old Renovation,Shirak › Vahramaberd,"$50,000",USD,"Adjacent to the private house there are auxiliary capital stone buildings, which are intended to be used as a barn-bakery (there is a tonir) (80 sq. M.), garage-bathroom (69 sq. M.), it is provided with constant water and gas, there is irrigation water, the yard is separated There are fruit trees with a fence, the land borders the canal.Translated from Armenian",Nov-25-2022_00-23,2000 sq.m.,,,,https://list.am/en/item/16531007
Country House,Stone,7400 sq.m.,1,6,3+,By agreement,1 spot,Partial Renovation,Shirak › Shirak,"$68,000",USD,I am selling a semi-detached house. It is 50 meters from the main road. It is located in a very convenient place. There is a large swimming pool. There are two different water lines for drinking water. There is a cattle yard. There is a garage. The mountain is close to the pasture for cattle. The city cemetery is close to the house. A very convenient place to set up a workshop. For details call or come and negotiate on the spot. Call real buyers. NegotiableTranslated from Armenian,Nov-25-2022_00-23,184 sq.m.,,,,https://list.am/en/item/18098161
House,Stone,64 sq.m.,1,1,1,Not available,Not available,No Renovation,"Ջիվանի փողոց 70, Գյումրի","$55,000",USD,"A 1-storey stone house for sale in the center of Gyumri city, at 70 Jivanu St. (previously inhabited) The building is located in front of the Florence Gyumri restaurant. The house is 64 square meters, the price is negotiable. All the windows of the house have been replaced and face the street, sunny side, very bright. The total area of the house is 150 m/sq. It has permanent water, gas, bathroom, common yard. It needs major repairs. If desired, the entire 150 sq. M. Will be sold.Translated from Armenian",Nov-25-2022_00-23,64 sq.m.,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/15798600
House,Bricks,107 sq.m.,2,4,2,,,Cosmetic Renovation,Shirak › Gyumri,"$27,000",USD,"Վաճառվում է կոմունալ բոլոր հարմարություններով սեփական երկհարականի տուն։ (ձեղնահարկով, մեծ նկուղով 33քմ եվ հողատարծքով, մրգատու ծառերով) ։ հասցեն՝ շերամ 2թաղ, 2_5 (մուշ1) ։ՏՐՎՈՒՄ Է ՆԱԵՎ ՎԱՐՁՈՎ։Продажа собственный двухкомнатный дом со всеми условиями (с чердаком, с большим подвалом 33кв и участком) адрес: Муша 1, 2 дом 2/5 (шерам) ։ТАКЖЕ СДАЕТСЯ В АРЕНДУ.",Nov-25-2022_00-23,120 sq.m.,,,,https://list.am/en/item/16172902
House,Stone,600 sq.m.,2,5,1,,,Partial Renovation,Shirak › Artik,"18,500,000 ֏",AMD,"Շատ որակով կառուցված երկհարկանի քարե տուն։ Ունի նկուղ 44 քմ, ավտոտնակ։1֊ին հարկը` Մեծ ննջասենյակ, որը կարող է օգտագործվել որպես աշխատասենյակ, հյուրասենյակ, խոհանոց, սանուզել։2֊րդ հարկը` 4 մեծ ննջասենյակներ, ֆոյե։Տանիքը օգտագործվում է որպես պահեստ։Ունի վերանորոգման կարիք։ Կոյուղին առկա է։Տարածքի շարունակությունը սարն է, որը չի պատկանում որևէ մեկին, գեղեցիկ տեսարան է։ Շատ հանգիստ տեղ է։Продается двухэтажный каменный дом в Артике.Общая плошадь- 600 м2Жилая плошадь -284 м21й этаж-большая спальная, гостинная, кухня, гараж и сан уэел2й этаж 4 большие спальни.Дом жилой. В доме есть подвал 44 м2. Дом построен очень качественно со всеми утилитами.Translated from Armenian",Nov-25-2022_00-23,400 sq.m.,,,,https://list.am/en/item/18183476
House,Bricks,96 sq.m.,1,3,1,,,No Renovation,Shirak › Voghji,"9,000,000 ֏",AMD,"House for sale in Voghji village, has an adjacent cattle barn and a plot of land, also a 6-hectare plot of land.Translated from Armenian",Nov-25-2022_00-23,1700 sq.m.,,,,https://list.am/en/item/17411504
House,Stone,160 sq.m.,1,5,1,,Not available,No Renovation,"Շիրակի խճուղի 1, Ախուրյան","$15,000",USD,The building is located on the road of a sugar factory in Akhuryan.Translated from Armenian,Nov-25-2022_00-23,1700 sq.m.,,,,https://list.am/en/item/17175861
House,Stone,680 sq.m.,2,8+,2,Not available,2 spots,No Renovation,"Շիրակի խճուղի 1, Ախուրյան","$50,000",USD,"The building is suitable for ""residential"" production area. It is located near Akhuryan police.Translated from Armenian",Nov-25-2022_00-23,1300 sq.m.,,,,https://list.am/en/item/17175924
House,Stone,200 sq.m.,2,4,1,,,Old Renovation,"Proshyan Street, Artik","$25,000",USD,Սեփական տուն Արթիկ քաղաքում,Nov-25-2022_00-23,600 sq.m.,,,,https://list.am/en/item/16201053
House,Stone,219 sq.m.,2,7,1,,,Major Renovation,"Անկախության փողոց 15, Արթիկ","$65,000",USD,"2-storey private house for sale, c. Artik in 1 Alley of Independence (house 14) The area of the land is 327 square meters, the area of the residential house is 219.2 square meters. Building: 19.2 square meters. The walls are made of double tuff stone, the front part is made of polished tuff stone. Entrance to the basement of the house with stairs from the yard. The 1st floor consists of: 1. Hall, 2. Living room, 3. Kitchen. , 4. Bathroom, bathtub and garage. On the 2nd floor: 1. Entrance hall, 2. Four bedrooms, 3. Two open balconies. The house is fully renovated, uninhabited. Has gas, electricity. Electricity, water, sewerage.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/12807474
House,Stone,143 sq.m.,1,6,2,,,Cosmetic Renovation,"Sundukyan Street, Gyumri","$40,000",USD,"Own house for sale, in the central part of the city, two mansions with one common yard, one with 2 rooms, the other with 4 rooms, with all their utilities. Both houses are sold together for $40,000, they have an individual heating system.Address: C. Gyumri Sundukyan str. 271 housesTranslated from Armenian",Nov-25-2022_00-23,210 sq.m.,,,,https://list.am/en/item/17793277
House,Stone,300 sq.m.,1,4,1,Not available,1 spot,Partial Renovation,"Улица Хачатура Абовяна 95, Гюмри","$150,000",USD,"Дом находиться в центральной части города в шаговой доступности вся инфраструктура, 300 метров до ЦентральнОЙ ПЛОЩАДЬИ ГЮМРИ а так же расположение дома входит в историко-культурный заповедник Кумайри. Все коммуникации введены в дом (газ, свет, вода, канализация и отопителная система) Можно приобрести для комерции гостевой дом, ресторанный комплекс и тд... В участке также был гараж который был переделыван двухкомнатную квартиру 40 м со всеми коммуникациями которые можно сдавать как гостевой дом...",Nov-25-2022_00-23,95 sq.m.,,,,https://list.am/en/item/16807416
House,Stone,110 sq.m.,1,4,1,,,Old Renovation,"Աթարբեկյան փողոց 102, Գյումրի","$25,000",USD,"One-storey stone house on Atarbekyan street in Gyumri, 110 sq. M. Մ.The house is located in the center of Gyumri, in Lich district.It has a storage room, very close to the main road.The house is privatized.Translated from Armenian",Nov-25-2022_00-23,140 sq.m.,,,,https://list.am/en/item/17433626
House,Stone,320 sq.m.,2,7,2,Not available,Not available,Old Renovation,Shirak › Artik,"$35,000",USD,"The house has no humidity, the second floor windows are euroTranslated from Armenian",Nov-25-2022_00-23,1500 sq.m.,,,,https://list.am/en/item/17187893
House,Stone,420 sq.m.,1,5,2,Available,3 or more spots,Partial Renovation,Shirak › Gyumri,"$58,000",USD,"Own house for sale in the central part of Gyumri. The total area is 420 square meters, the structure is 200 square meters, the house is one floor, 5 rooms, kitchen, bathroom, basement, garage 4•6 m, windows are euro, roof repaired, stone walls (90 cm), in the garden there are fruit trees, a cellar that can serve as a wine cellar, an attached garage of 4•7 m, water, gas, three-phase electricity.The area can serve as a HOTEL.Translated from Armenian",Nov-25-2022_00-23,220 sq.m.,,,,https://list.am/en/item/18107550
House,Stone,120 sq.m.,1,3,1,Not available,Not available,Old Renovation,"26 Komisarneri Street, Gyumri","$23,000",USD,Одноэтажный дом в Гюмри,Nov-25-2022_00-23,,,,,https://list.am/en/item/11103455
House,Stone,1000 sq.m.,2,7,1,By agreement,Not available,No Renovation,Shirak › Artik,"$18,000",USD,Продаётся дом в камине двухэтажный без ремонта остальные вопросы,Nov-25-2022_00-23,400 sq.m.,,,,https://list.am/en/item/15914823
House,Stone,208 sq.m.,1,4,1,Not available,1 spot,Partial Renovation,"Գևորգյան փողոց 15, Գյումրի","$29,000",USD,"Total area 208 m2Bn. Area 99 m2Garage 29 m2The house is located next to the maternity hospital, it is partially renovated, it has a garden, a small yard, the windows are Euro, the outer door is iron, the roof is newly renovated with sheet metal, the position of the house is east-south, the main street is paved.Call for detailed information.Translated from Armenian",Nov-25-2022_00-23,70 sq.m.,,,,https://list.am/en/item/18360045
House,Stone,133 sq.m.,2,3,1,Not available,Not available,No Renovation,Shirak › Sarnaghbyur,"4,200,000 ֏",AMD,"Beautiful place, beautiful view, there is a church in the yard of the house, there is constant running water, gas passes in front of the house. Urgent. Negotiable.Translated from Armenian",Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/17872681
House,Stone,264 sq.m.,1,5,1,Available,1 spot,Cosmetic Renovation,Shirak › Keti,"$30,000",USD,"Private house for sale in Katie village (5 minutes from Gyumri) The house is in very good condition, near the gorge. It has a barn, about 100 square meters, which has a separate sewer. It has a bakery, a garden with fruit trees. The windows have been changed, of European production. For more information call.Translated from Armenian",Nov-25-2022_00-23,2000 sq.m.,"ELectricity, water supply, natural gas, sewerage","BArbecue oven, alarm system",,https://list.am/en/item/17336006
House,Stone,513 sq.m.,1,3,1,,Not available,No Renovation,"Խրիմյան Հայրիկ մայրուղի 2/10, Գյումրի","$39,000",USD,"513.5 square meters near the New Customs House. M:A private house is for sale, the area is suitable for business. The area is located next to the Customs House, near the exit of the Customs House and the main road.The price is negotiable.Translated from Armenian",Nov-25-2022_00-23,458 sq.m.,,,,https://list.am/en/item/17018063
House,Stone,160 sq.m.,2,7,2,,,No Renovation,Shirak › Gyumri,"$25,000",USD,"Продам недостроеный дом без крыши, во дворе есть летняя кухня, гараж, можно поменять на машину или 1комнатную квартиру с предоплатой.",Nov-25-2022_00-23,,,,,https://list.am/en/item/17971843
House,Stone,200 sq.m.,2,5,2,,,Old Renovation,Shirak › Arapi,"10,000,000 ֏",AMD,"A two-story private house is for sale in Arapi village. It has a plot of land near the house, fruit trees. For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-23,1200 sq.m.,,,,https://list.am/en/item/18190854
House,Stone,220 sq.m.,2,7,1,,,Old Renovation,Shirak › Panik,"$38,000",USD,"The 1st floor needs renovation2nd floor old renovationThe area of adjacent buildings is 60 square metersGarage, cowshed, pantry, bakery. There is a well in the land. Partial furniture is included in the price. There is a parking space in front of the house. We will gladly answer the rest of the questions orally.Translated from Armenian",Nov-25-2022_00-23,800 sq.m.,,,,https://list.am/en/item/18204175
House,Stone,100 sq.m.,1,5,1,,,Old Renovation,"Երկաթգծի փողոց 16/2, Գյումրի","$45,000",USD,"For sale: Thick stone walls, bright, side-by-side private house with a garden with a fruit tree and a garage. The house is located near the square near the station, in a very convenient, clean place. There are other grocery stores, a pharmacy, a transport stop nearby. Price is negotiable.Translated from Armenian",Nov-25-2022_00-23,100 sq.m.,,,,https://list.am/en/item/17966827
House,Stone,250 sq.m.,2,4,1,,,Old Renovation,Shirak › Artik,"$42,000",USD,"Urgent sale of a house with all communal facilities, natural gas, electricity, water, large balcony, fruit trees without intermediaries. Price is negotiable.Translated from Armenian",Nov-25-2022_00-23,700 sq.m.,,,,https://list.am/en/item/16719672
House,Stone,452 sq.m.,1,3,1,Not available,1 spot,Old Renovation,"Ghandilyan street, Gyumri","$28,000",USD,"1. To reduce the price, you idle people, CALL (IT IS FINAL! )2.Part by Part, those who want Pakov will call.3. Call from 10:00 to 21:00.4: To see the house until 18:00.5. The house is not damp.OWN HOUSE FOR SALE AT LAND PRICE: 452 sq. M.With a total area, a separate yard, a garden,with a stone garage. With a high ceiling (3.5 meters)Residential 133.47 square meters,Auxiliary 23.5 + 4.37Orchard Garden 245.07 sq. M.Ghandilyan street, the back of the former regional (railway) hospital. The house needs repair, it has not been lived in for 7 years. It is provided with constant water and gas, it has a summer kitchen, a stone garage, a garden with fruit trees, there are auxiliary buildings in the garden, a large cellar under the house. There are all the necessary shops, a school and a kindergarten nearby. 5Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/12622966
House,Stone,600 sq.m.,1,4,1,,,Old Renovation,"Paronyan street, Gyumri","$105,000",USD,"A private house with all the communal facilities is for sale. The house has a large yard with fruit trees, a swimming pool, a large comfortable basement. There is a stone garage in the yard. The house has an old renovation and old heating system.Translated from Armenian",Nov-25-2022_00-23,450 sq.m.,,,,https://list.am/en/item/17983353
House,Stone,100 sq.m.,1,3,1,,,Partial Renovation,Shirak › Zuygaghbyur,"6,000,000 ֏",AMD,"It has a barn, a garage, a barn, negotiable. There is also an exchange optionTranslated from Armenian",Nov-25-2022_00-23,300 sq.m.,,,,https://list.am/en/item/18053066
House,Monolith,200 sq.m.,2,5,1,Not available,1 spot,Partial Renovation,Shirak › Gyumri,"$45,000",USD,"Վաճառվում է երկհարկանի առանձնատուն ։Առաջին հարկում կա 5սենյակ, խոհանոց, նկուղ վերանորոգված լոգարան ։Ունի մշտական գազ և ջուր։Հարակից ունի քարաշեն ավտոտնակ և քարաշեն շինություներ ։Երկրորդ հարկը կիսակառույց։",Nov-25-2022_00-23,,,,,https://list.am/en/item/13749544
House,Stone,300 sq.m.,2,5,1,,,Euro Renovation,"Պավլովի փողոցի 1-ին նրբանցք 4, Գյումրի","45,000,000 ֏",AMD,"Urgent Two-storey private house for sale, euro-renovated, with all communal facilities,Living area 262 sq. M.The area of the park is 200 square meters. With fruit trees,Large balcony 65 sq. M. Area,Euro doors and windows, three-layer windows and barred,Iron entrance door, blacksmith work,Location of the house East-West,Has individual heating system,Spacious kitchen with furnitureThree stone garagesWe will agree on the final price on the spotUrgent!Exchange with a smaller and affordable homeTranslated from Armenian",Nov-25-2022_00-23,200 sq.m.,,,,https://list.am/en/item/16121473
House,Stone,210 sq.m.,2,8+,3+,Available,Not available,Cosmetic Renovation,"Աճեմյանի փողոց 7, Գյումրի","$175,000",USD,"The house is located in the center of Gyumri, near Vardanants Square (400 m away), not far from the Tumo center, Albert Mkrtchyan's films (Song of the Old Days) and other films were shot on the same street. The house is located in Kumayr reserve. A part of the house is a functioning guest house (Kumayri Guest House), the house has a big yard with fruit trees, a big chat room. It is very convenient to turn the whole house into a guest house with 7 separate rooms, with their separate entrances. There is permanent gas, water. The house is on the other side.Translated from Armenian",Nov-25-2022_00-23,436 sq.m.,,,,https://list.am/en/item/17569126
House,Monolith,200 sq.m.,1,4,2,,,Cosmetic Renovation,Shirak › Arapi,"$26,000",USD,"URGENTLY needed sepak house, I want to buy it, I will tell you in detail, URGENT) I will bargain, I will bargain well) ;) The house with all utilities is more beautiful on the inside, don't be surprised by the outer walls.Translated from Armenian",Nov-25-2022_00-23,1200 sq.m.,,,,https://list.am/en/item/17666621
House,Stone,110 sq.m.,2,8+,1,,,Partial Renovation,"Միխայիլ Սալտիկով-Շեդրինի փողոց 1, Գյումրի","$11,000",USD,A two-storey stone house is for sale. Each floor is 110 square meters. 60 sq. M. Of the first floor is renovated. The bathroom is completely renovated. It has water and sewage. The rest is not repaired. He does not have a property certificate. Please do not call those who really want to call in vainTranslated from Armenian,Nov-25-2022_00-23,400 sq.m.,,,,https://list.am/en/item/17898353
