Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For General Purpose,1000 sq.m.,Gegharkunik › Sevan,"$16,000",USD,"The land is located next to Harsnakar hotel complex, on the bank of Hrazdan river. The area has a building permit for 25 years, three-phase electricity and drinking water.The area can serve as a recreation area վայր fishing area.It is also possible to exchange with an equivalent car.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/14394453
For Public Buildings,5000 sq.m.,Gegharkunik › Sevan,"$490,000",USD,"A restaurant is for sale near the Sean Peninsula, on the Sean-Dilijan highway. It is an operating business. The area is 5000 square meters. In case of questions, call the mentioned phone number.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17357684
For Residential Development,600 sq.m.,Gegharkunik › Sevan,"4,500,000 ֏",AMD,"Land in Sevanum#, land near the house in Sevanum#, land#, land#, gated land#, land#,I can give the land closed only by signing a contract by a notary, for details call the contact with any of the contact details, there are no problems with the documents of the land, the land has an address, there are no problems with gas, water, electricityTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/10215891
For Residential Development,800 sq.m.,Gegharkunik › Sevan,"$40,000",USD,"With blue certificate, privatized, close to the house, 800 square meters in total, all utilities are available, in front of the bride's stone, next to the roadTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18178749
For Residential Development,600 sq.m.,Gegharkunik › Sevan,"$22,000",USD,600 m/2 plot of land for sale. There is also 1000m/2Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17280139
For Residential Development,350 sq.m.,Gegharkunik › Sevan,"$4,500",USD,"A plot of land is for sale 200 meters from the Sevan lake, next to the former Sevan hospital, 1 km from the city of Sevan. At a distance, it is suitable for organizing a recreation area.Exchange with a car is possiblePRICE NEGOTIABLE.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16297604
For General Purpose,700 sq.m.,Gegharkunik › Sevan,"$8,300",USD,"Land for sale 200 meters from Lake Sana, next to the former Sana hospital, 2 km from the city of Sana. At a distance, it is convenient to organize a recreation area. PRICE NEGOTIABLE.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16424807
For Public Buildings,1000 sq.m.,"1st Street, Shorzha","35,000 ֏",AMD,The land is located (Shorzha) in the present-day Shoghakat village with a frontage of 1000 square meters and 22 m in the central part of the village on the shore of the lake. Please call real buyersTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/16852332
For Public Buildings,2600 sq.m.,Gegharkunik › Sevan,"$15,600",USD,"Land for sale on the 5th kilometer of the Sevan-Gavar highway. The land is the first line, it has a 30-meter front, all the communications are very close, the distance from the lake is 40 meters. The price is $ 6 per square meter.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16961976
For Public Buildings,4000 sq.m.,Gegharkunik › Sevan,"$60,000",USD,"Urgent, 4000 square meters for sale without intermediaries. Privatized flat land on the left side of the highway leading to Shorzha, first line.I will exchange it for an apartment in YerevanOr by car.The significance of the land""Specially protected area,Recreation area ""It is suitable for any commercial activity, it has a road leading to the shore.The cost of 1 square meter is $ 15Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16218178
For General Purpose,3000 sq.m.,Gegharkunik › Sevan,"$20,000",USD,"The area is located near the former hospital on the shore of the lake, 3000 square meters, with a construction permit, it is possible to exchange with a carTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16646631
For Residential Development,1500 sq.m.,Gegharkunik › Sevan,"$40,000",USD,"Վաճառվում է հողատարածք կառուցապատման իրավունքով, Սևան- Երևան մայրուղու առաջնագծին... Հողամասից Սևանա լճի գեղեցիկ տեարանն երևում է. Լիճն տարածքից 100մ հեռվորության վրա է. Ճանապարհի 27մետր երկայնքով 50մետր խորությամբ. Հողամասն կարող է ծառայել թե տնամերձ հողատարածքի թե ցանկացած շինության համար... Продается земельный участок с правом застройки на передовой трассы Севан-Ереван... С участка открывается прекрасный вид на озеро Севан: Озеро находится на расстоянии 100 м от территории. 27 метров по дороге с глубиной 50 метров. Земельный участок может служить как для приусадебного участка, так и для любого здания.",Nov-25-2022_00-53,,https://list.am/en/item/17889093
For Residential Development,300 sq.m.,"1st Street, Shorzha","$5,500",USD,"A plot of land near the village of Shorzha is for sale. Has a construction permit. On the side of the road, 50 meters from the water, for details call viber, WhatsAppTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/14679262
For Public Buildings,4800 sq.m.,Gegharkunik › Chkalovka,"$120,000",USD,"Land for sale in Gegharkunik region, Chkalovka administrative district.The total area is 4800 square meters. The cost is 1 square meter - 25 AMD.You can call the mentioned phone numbers for details.Code H-553Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17410602
For Residential Development,1200 sq.m.,"10-րդ փողոց 5, Ներքին Գետաշեն","7,000,000 ֏",AMD,"Վաճառվում է հողատարածք Ն. Գետաշենում, Ներքին Ղուրան թաղամասում (տնամերձ) ։",Nov-25-2022_00-53,,https://list.am/en/item/18280399
For General Purpose,156 sq.m.,Gegharkunik › Sevan,"$20,000",USD,"The land is located next to the Haypost in Nairyan Abavyan crossroads, has a construction permit, the area is 156 square metersTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17826945
For Residential Development,1000 sq.m.,Gegharkunik › Sevan,"$10,000",USD,"A plot of land is for sale in the village of Geharkunik Marz. It is suitable for building a house or dacha. It is 100m above the sea. There is gas, light and water in the area. There are also basalt stones. The view overlooks the sea. For pictures, call for details.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15932237
For Public Buildings,800 sq.m.,Gegharkunik › Sevan,"$18,000",USD,Fenced has 2 butka bisetkaTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/18130997
For Residential Development,800 sq.m.,"Ազատության փողոց 21, Սևան","$10,000",USD,"Land near the house, near Harsnakar in Sevan. It is close to the central road. The position is smooth. I will exchange it for cattle. Cow, calf, pig.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17337027
For Residential Development,400 sq.m.,Gegharkunik › Sevan,"$7,200",USD,"Incomparably cheaper offer than the market one.The area is located in Sean city, only 200 m from the main Nairyan street, next to the Vocational School. The land is 400 sq. M. Meters E, 10 × 40 m. , has a certificate of ownership, Suitable for own house, car service, to build a workshop օգտագործ to use for other purposes. There is about 20 sq. M. On the area. Kare Shinutyun, which previously operated as a grocery store. It is located in a residential district. There is electricity and gas in the store. The water է is very close to the sewer, about 5 meters. UrgentTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/10763979
For Public Buildings,1000 sq.m.,Gegharkunik › Sevan,"$18,500",USD,"The land has a certificate of ownership, the significance of the land is public, industrial. It is located in a very convenient, busy area, c. On the road from Shan to the main highway, in front of the mourning hall, next to the newly opened wedding hall, 1 line, the address is Ara Geghetsik 3. Suitable for any kind of business activity. The land is completely leveled and fenced with wire mesh, the front is 20 meters. There is water in the land with full legal documents and water meter. Gas pipes and electricity are located right next to the plot. UrgentTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15965891
For Public Buildings,7000 sq.m.,"Երևանյան խճուղի 3, Սևան","$360,000",USD,"It is sold without an intermediary.It is located right next to the famous ""Near Semo"" Sevan restaurant.It is one of the only plots of land in the coastal part of Sevan, which has the right of ownership + the right of construction (all documents are available), it is above the mark.I will ask the agents not to call.I will ask real customers to call or meet to discuss the details.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18338591
For Public Buildings,"18,000 sq.m.","Նաիրյան փողոց 176, Սևան","$400,000",USD,"Տեղակայված է քաղաք Սևանի կենտրոնական փողոցի վրա։ Հողի նպատակային նշանակությունը ՝ էներգետիկայի, տրանսպորտի, կապի, կոմունալ ենթակառուցվածքների օբյեկտների: Ունի 2 մուտք։ Քաղաքի կողմից, մյուսը դեպի մայրուղի տանող ճանապարհի կողմից:",Nov-25-2022_00-53,,https://list.am/en/item/17731098
For Residential Development,2000 sq.m.,Gegharkunik › Vardenis,"$15,000",USD,"Land near the house for sale in Daranak village, Gegharkunik region, near the school (2000), two thousand square meters completely fenced. Fruit trees. For questions, call the mentioned number.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16261156
For General Purpose,"15,918 sq.m.","Lchap-Norashen highway, Tsovazard","$32,000",USD,Շտապ վաճառվում է հողատարածք 15918հա ։ Գտնվում է Գեղարքունիքի մարզի Նորաշեն համայնքում մոտ է մայրուղուն և լճին ։ Հողամասում կա դոմիկ քաշած է հոսանքը կարգաորված է ճանապարհը դեպի տարածք ։ Գինը 32000$ Սակարկելի,Nov-25-2022_00-53,,https://list.am/en/item/17731132
For General Purpose,"19,000 sq.m.",Gegharkunik › Zolakar,"14,000 ֏",AMD,"On the ascending path about 100 meters from the Zolakarun road, the price of about 19 pieces of Zolakar machine is final 14000 dollars, the size of the land is 38.50 meters.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16444084
For Residential Development,690 sq.m.,Gegharkunik › Sevan,"3,800,000 ֏",AMD,"A 690 square meter plot of land is for sale, adjacent to the Sevan-Yerevan highway, Amaranozai 2nd Lane. At address 1, the intended meaning is for settlements, the purpose of use is for construction and maintenance.The distance from Lake Sevan is about 200mPrice: NegotiableTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/7276801
For Residential Development,1000 sq.m.,Gegharkunik › Sevan,"$6,900",USD,"Մակերես1000 m2Վաճառվում է սեփականաշնորհված հողամաս Սևանի Ներքին Շորժա գյուղում, գյուղապետի տան հենց կից հողն է: Հեռաորությունը դեպի լիճ 400 մետր, ավազը մանր դեղին (այսպիսի մանր ավազ ոչ մի տեղ չկա)Շուկայականից ցածր գին։",Nov-25-2022_00-53,,https://list.am/en/item/14179420
For Residential Development,1200 sq.m.,Gegharkunik › Lchashen,"$3,999",USD,"Land with the permission of a residential building, the foundation of the house is laid, three rows are raised, the foundation of the barn is laid, there are 13 panels 6 m long, everything can be seen in the pictures, there is also a drawing of the house. For other questions, call Viber or WhatsAppTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17966884
For General Purpose,1000 sq.m.,Gegharkunik › Chambarak,"$50,000",USD,Land near the house for sale in Shorzha. Call for detailsTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/15533823
For Public Buildings,"10,000 sq.m.",Gegharkunik › Sevan,"$100,000",USD,"The land is located in Shorzha (Chambarak)It is very suitable for building a hotel, hotel complex, club, solar station (there is one nearby)The land is located about 200m from Lake Sevan, it is very flat, 335 days in the sun, there is a slope in the back, the front part starts from the edge of the road, which is currently secondary, but after raising the surface of Sevan, it will become primary, because today's the arajnaya will remain under water. If you want, I will send the pictures of the documents.The land is for sale as a whole, I will consider an exchange for a car.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17443951
For Public Buildings,500 sq.m.,Gegharkunik › Shoghakat,"$35,000",USD,"Summer house for sale without intermediaries, recreation area on the shore of Lake Sevan, in Shoghakat (Shorzha) villageFirst line. Convenient to use for business purposes. Central part. The parties are a fully functioning business. Public construction, residential. Recreation area, hotel, food facility, shop and other commercial. The entrance is right from the highway. Distance from the shore is 10 meters.The land area is 500 square meters. It is completely fenced. The land is private, it is NOT for rent. Construction right.The front part is 13 m.The building is 72 square meters, has 5 rooms, a kitchen, a bathroom.Large pavilion (stone stand), stone barbecue, parking for 2 cars, decorative trees.Price is negotiableIf not available, write hereLand for sale in Lake Sevan:Dacha zemlя takelьnый участок Севан Шоржа пляжститеница гостевой дом готовый бизнесTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17195552
For General Purpose,3000 sq.m.,Gegharkunik › Sevan,"$33,000",USD,"For sale, beach, land on the shore of Xi'an, first line. The land is forested, the shore is sandy, outdoor pavilions are installed, one caravan is suitable for business. It is located right next to DURS Bar & Grill / @ dursbarandgrill / beach. The length of the land along the coast is 50 meters. If desired, it is possible to sell the land in larger quantities. Only real buyers should call.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15805356
For Residential Development,819 sq.m.,Gegharkunik › Gavar,"$70,000",USD,819 m2:In the neighborhoodOn the main road entering Gavar. In the center of GavarFirst line37 m front2 entrances from the municipality street. (11 m front)Suitable for renting offices to build a shopping centerKyavar GavarTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/16229157
For Public Buildings,"10,000 sq.m.",Gegharkunik › Chambarak,"$45,000",USD,"Land with construction permit, right on the shore of Lake Sanaa in Shorzha, suitable for building a hotel-cottageTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/11307536
For Public Buildings,"10,000 sq.m.",Gegharkunik › Shoghakat,"$30,000",USD,"Գտնվում է Նկարիչների հանգստյան տան ճանապարհին, առաջին գիծ: Չափերը՝ 33մ ճակատ, 300մ երկարություն:Սեղմել հղման վրա քարտեզում տեսնելու համարhttps://www.google.com/maps/dir/40.4844238,45....",Nov-25-2022_00-53,,https://list.am/en/item/17674363
For Residential Development,3000 sq.m.,Gegharkunik › Geghamavan,"$15,000",USD,Geghamavan GeghamavanTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/14289611
For Residential Development,2500 sq.m.,Gegharkunik › Artanish,"$7,000",USD,Hoyakap tesaran depi sevan,Nov-25-2022_00-53,,https://list.am/en/item/16420389
For Residential Development,2400 sq.m.,Gegharkunik › Nerkin Getashen,"5,000,000 ֏",AMD,2400 sq / m land plot is for sale in Nerkin Getashen community of Gegharkunik region.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/15868072
Agricultural,"38,000 sq.m.",Gegharkunik › Sevan,"$27,000",USD,"Agricultural land is for sale in Sjan, call if you have any questions.The price is negotiable for the real buyer.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17872429
Agricultural,"21,000 sq.m.",Gegharkunik › Sevan,"$17,000",USD,"Fertile arable land is for sale, call in case of questions.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17872482
For General Purpose,1200 sq.m.,"Arzni Highway, Abovyan","2,700,000 ֏",AMD,"In Abovyan city, on Arzni highway, in front of the tube dispensary, 1200 square meters of agricultural land is for sale in the penultimate row, uncultivated land with building permit; Price AMD 2700,000 / negotiable /Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17964264
For General Purpose,5000 sq.m.,Gegharkunik › Sevan,"$70,000",USD,"Coastal land for sale in Shorzha, next to the Artists' boarding house. Exchange is also possible.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17933573
For General Purpose,1400 sq.m.,Gegharkunik › Martuni,"$4,000",USD,"A land near the house, located in Lichk village, Martuni city, Gegharkunik region, is for sale very urgently. The land is located in the area of residential houses, not far from the main road. It is privatized. Has a privatization booklet,THE PRICE IS AFFORDABLE.# HomelandAt the same time, we have arable lands, which are also privatized, have privatization booklets.They are also sold if desired. THE PRICE IS AFFORDABLE.APPLY TO RUDIK HAKOBYAN with the following numbers.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15432390
For General Purpose,600 sq.m.,Gegharkunik › Sevan,"$11,500",USD,"600 square meters of land near the house is for sale, in the city of Sevan.The area also includes a cattle farm with an area of 58.5 square meters.For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18154609
For Public Buildings,500 sq.m.,Gegharkunik › Sevan,"$6,800",USD,"A PROPERTY land of 500 square meters is for sale on the shore of Sean, in Drakhtik community, not far from Shorzha, with the right of construction. There is no such land on the shore of Shan, 99% of the lands on the shore of Shan are leased, and this land is PROPERTY with the right of construction.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16146158
For Residential Development,9000 sq.m.,Gegharkunik › Martuni,"5,300,000 ֏",AMD,"Շտապ Վաճառվում է հողատարածք Մարտունի քաղաքում, գտնվում է գլխավոր ճանապարհին կից։Հոսանքի լարերը, ջուրը և կոյուղին անմիջապես կողքն են, ռեալ գնորդի համար սակարկելի։",Nov-25-2022_00-53,,https://list.am/en/item/18166915
For Residential Development,450 sq.m.,Gegharkunik › Martuni,"$5,000",USD,"A plot of land (field) is for sale 3 blocks from the road, call for more details (URGENT) K. Martuni, Hospital 1st Street No. 9 (write to email) I will also park the car, I will listen to complaintsTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15941507
Agricultural,1000 sq.m.,Gegharkunik › Sevan,"$12,000",USD,Flat areaSolak in front of the bakeryExchange with a carHome leading to Sevannear the streetTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/14045995
For Public Buildings,4000 sq.m.,Gegharkunik › Sevan,"$80,000",USD,"A plot of land is for sale in Sevan, which is located in front of Noi Land Resort.The significance of construction of public buildings.The total area is 4000 square meters.The land is privatized.The front part is 107 meters.All communications are nearby.The land is front line.Selling price: 80,000 USDCode: AH-H15Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18350835
For General Purpose,4000 sq.m.,"1-ին փողոց 5, Չկալովկա","$45,000",USD,"A plot of land is for sale on the 6th kilometer of the Sevan - Gavar road, in Chkalovka community.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18350776
For Residential Development,640 sq.m.,Gegharkunik › Sevan,"$7,300",USD,"A plot of land for building a residential house is for sale. It is located in Sevan city, at Sayat-Nova 42. There are residential houses next to it. Gas, light and water are nearby. It is also close to the Tumo center and the stadium. It is 700 meters from the lake.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17528867
For Public Buildings,"10,000 sq.m.",Gegharkunik › Shoghakat,"$80,000",USD,A specially protected area near Lake SevanaTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/18112625
For Public Buildings,"18,000 sq.m.",Gegharkunik › Sevan,"$150,000",USD,A plot of land with half-built cottages is for sale on the banks of Sevan.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/18190111
For Industrial Use,"58,000 sq.m.",Gegharkunik › Shoghakat,"65,000,000 ֏",AMD,"Located in Shorzha. Flat land of energy importance. It is planned to build a 5 megawatt solar plant, there is a business project, preliminary technical conditions. It is also possible to build a wind farm.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18056353
Agricultural,"11,900 sq.m.",Gegharkunik › Sevan,"2,000 ֏",AMD,"Սևանա լճի մոտ վաճառվում է հողատարածք 11 900 քառ. /մ. , գյուղ. Նշանակությամբ: Գտնվում է Սևան - Գավառ մայրուղու 1 կմ. Վրա, Լճաշեն գյուղի մոտ, ճանապարհից ձախ (լճի կողմում, հեռավորությունը լճից մոտ 700մ.) : Ճանապարհի եզրագիծը՝ 40մ. ։ Գինը 1 քմ. Արժեքն է։",Nov-25-2022_00-53,,https://list.am/en/item/18259488
For General Purpose,8500 sq.m.,Gegharkunik › Sevan,"$130,000",USD,"Private plot of land with 107 meters of frontage for sale, on the banks of Sevan, next to Noi Land complex, on the other side of the roadtarget meaning - public mixed construction.Type of right - OWNERSHIP!The area is suitable for building a gas filling station or a hotel complex - recreation area.Exchange is also possible.Exchange for a carexchange with an apartment#plot of landsoilareaSevan bankrecreation area hotel motel guest housecar exchange apartmentgas station gas station CNGTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17240214
For Public Buildings,1000 sq.m.,Gegharkunik › Sevan,"$30,000",USD,"1000մ2 հողատարածք Սևան-Երևան մայրուղու հարևանությամբ, լճին մոտ։Հարմար է հանրային կառույցի համար: Սեփականատեր։",Nov-25-2022_00-53,,https://list.am/en/item/15565646
Agricultural,"10,000 sq.m.",Gegharkunik › Shoghakat,"$60,000",USD,"K-22838Վաճառվում է 1հա գյուղնշանակության հողատարածք Սևանի ափից 100մ հեռավորության վրա Շողակաթ համայնքում։ Բոլոր կոմունիկացիաները մոտակայքում են։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։1ha land of agricultural meaning for sale in Shoghakat district far from Lake Sevan for 100m. All the utilities are nearby.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You",Nov-25-2022_00-53,,https://list.am/en/item/18193292
For Residential Development,1600 sq.m.,Gegharkunik › Martuni,"$7,000",USD,"A plot of land is for sale in the village of Lichk, Martunu region, in the district called Karkit, in a residential area, close to the asphalt, call the hotline at the indicated number, negotiable to a real buyer!Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18219465
For Residential Development,1200 sq.m.,Gegharkunik › Gavar,"$6,000",USD,"Land in Gavar, unfinishedTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/9905057
For Residential Development,1000 sq.m.,Gegharkunik › Artanish,"5,000,000 ֏",AMD,"The plot is very close to the main road.Target Meaning: ResidencePurpose of use: For developmentType of right: PropertyArtanish is one of the warmest places in the Sevan basin, where it is possible to use it seasonally as a summer house.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18137172
For Residential Development,1430 sq.m.,Gegharkunik › Shoghakat,"5,000,000 ֏",AMD,Near Shoghakat (former Shorzha) village.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17952277
For Residential Development,1000 sq.m.,Gegharkunik › Artanish,"$6,000",USD,"Հողատարածքը գտնվում է գյուղի սկզբնամասում, հարթ տարածության վրա, մայրուղուց հեռու է 300մ, ջուրը եւ հոսանքը մոտ են, մասնակի պարսպապատված, հարցերի համար զանգահարել…",Nov-25-2022_00-53,,https://list.am/en/item/17557384
For Residential Development,1000 sq.m.,Gegharkunik › Tsapatagh,"6,000,000 ֏",AMD,It is convenient to build a recreation area or a house. I will exchange the distance from Lake Syana for 500 meters by car.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17841054
Agricultural,3950 sq.m.,Gegharkunik › Tsapatagh,"$13,000",USD,Продаётся участок с великолепным видом на озеро Севан.,Nov-25-2022_00-53,,https://list.am/en/item/17587945
For Residential Development,1500 sq.m.,Gegharkunik › Vardenik,"$2,300",USD,A land near the house is for sale in the area called Kazni Dar of Vardenik village (15 acres)Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/12641281
For General Purpose,3000 sq.m.,Gegharkunik › Martuni,"$30,000",USD,Land near the house for sale. Address: Near the village Zolakar road.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/17167909
For Residential Development,2000 sq.m.,Gegharkunik › Artanish,"$15,000",USD,"Վաճառվում է 2000 ք/մ մակերեսով տնամերձ հողամաս և հին շինություն Սևանում`Արտանիշ գյուղում, Շորժաի հարևանությամբ։Շատ հարմար է հյուրատուն կառուցելու համար։ Հիանալի տեսարան դեպի լիճ։Продается земельный участок на Севане - село Артаниш, рядом с Шоржой․ Очень удобное место для создания гостевого дома․ Прекрасный вид на озеро․Land for sale is in Sevan - Artanish village, near Shorzha․A very comfortable place to set up a guest house․Great view on the lake․",Nov-25-2022_00-53,,https://list.am/en/item/15917248
For Industrial Use,2000 sq.m.,Gegharkunik › Chambarak,"$18,000",USD,"It has a multifunctional area with a water line from two different points. 40 meters away from the main gas pipe.The building is 187 square meters.I will exchange with a car (TOYOTA, LEXUS) with my or your surcharge.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/16333849
For Public Buildings,"10,000 sq.m.",Gegharkunik › Sevan,"$32,000",USD,"The area is located in the Sevan basin, on the left side of the section leading to Shorzha. It has public importance, it is comfortable as a recreation area, for the purpose of building a gas station. I also exchange for a residential house, a car. It is exchanged for an apartment, building or area in Yerevan. In case of exchange, the price is different.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17372195
For General Purpose,1350 sq.m.,Gegharkunik › Yeranos,"$5,000",USD,Տնամերձ հողամաս։,Nov-25-2022_00-53,,https://list.am/en/item/17087134
For Industrial Use,3000 sq.m.,Gegharkunik › Martuni,"$60,000",USD,"Urgent sale of land, residential, has gas, electricity and water, next to 2 secondary schools, call for detailsTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/18338038
Agricultural,1400 sq.m.,Gegharkunik › Tsovagyugh,"670,000 ֏",AMD,"Very urgently! This price will be based on the need for emergency money for several days. I'll get used to it a little more, hurry upExchange iphone14pro. In hetNext to the Sevan - Dilijan highway, 50m deep, in Tsovagyuh.Flat, suitable lot for sale or trade.A developing and forward-looking container that can be used for various purposes. Solar power plant, storage, etc.Can you write?UrgentTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17331410
For Residential Development,800 sq.m.,Gegharkunik › Shoghakat,"168,145 ֏",AMD,"The property is at auction.Gegharkunik region, c ․ In Aghberk, a plot of land near the house is 800 square meters, the area is flat, it is not demarcated from the adjacent areas.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17713074
For Residential Development,3000 sq.m.,Gegharkunik › Sevan,"3,500,000 ֏",AMD,"Urgent3,500,000Artanish village (Chambarak)Not an agencyIt is a very suitable area for building guest houses.Flat areaThe total area with the house is 3000 square metersThe house is residential.It is old, but there are facilities for living (dining room, living room, two bedrooms, toilet-bathroom.)Negotiable.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/14455664
For General Purpose,5000 sq.m.,Gegharkunik › Sevan,"$30,000",USD,СРОЧНАЯ ПРОДАЖА- ЦЕНА ДОГОВОРНАЯ!Продаеться земельный участок сельхозначения на берегу озера Севана. С документаты все в порядке- в собственностьи с 2008 года.Все падробности по телефону.Тумагаян,Nov-25-2022_00-53,,https://list.am/en/item/17706164
For Residential Development,1300 sq.m.,Gegharkunik › Sevan,"$3,500",USD,Հողատարացքը գտնվում է Սևան քաղաքի Զովաբեր գյուղումտնամերձ է հարակից ունի լույս գազ ջուր կա նաև ոռոգման ջուր0.131 հաԳինը շուկայականից շատ էժանՊայմանագրային,Nov-25-2022_00-53,,https://list.am/en/item/10041955
For General Purpose,500 sq.m.,Gegharkunik › Martuni,"$10,000",USD,K. On Tumanyan street in Martuni (100 meters to the east of Adana restaurant) a plot of land near the house is for sale.A partial sale for the garage is also possible.Translated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/18195935
For Residential Development,500 sq.m.,Gegharkunik › Martuni,"$9,000",USD,"K. On Martuni Tumanyan St. (100 m to the east of Adana restaurant) 5 rooms for sale. Land near the house in the center of Martuni. Also exchange for equivalent car. Call for final detailed information on the price.Also, a separate 30 sq. M. For GARAGE. The price is 500,000 Dr.Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/12022970
For Residential Development,851 sq.m.,"Ելենովկա փողոց 10, Севан","$15,500",USD,There is also a half-built stone building in the area for sale very urgently. I will negotiate for a real buyer. I will also exchange for a carTranslated from Armenian,Nov-25-2022_00-53,,https://list.am/en/item/18202887
For Residential Development,1600 sq.m.,Gegharkunik › Martuni,"180,000 ֏",AMD,"SAKARKELIST SHPATAP:Adjacent to the gas station called ""Yeghnikner"", in the Geghovit section of Martuni. Price cheaper than the market, possible part!Or exchange with a car.Negotiable:Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/15918968
For Residential Development,1600 sq.m.,Gegharkunik › Gavar,"$11,000",USD,"Land near the house in Sarukhan village. Completely flat land, road on both sides. Land, land, hox, hogh, hoghataracq hogh tnamerdz, tnamerj. Negotiable:Translated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/12675492
For Residential Development,2000 sq.m.,Gegharkunik › Martuni,"$35,000",USD,"Very urgently!A plot of land near the house is for sale in the city of Martuni (on Getapnya street), the total area is 2000 square meters. There is a half-built building with an area of 120 square meters and a height of 3 meters.There is water, gas, sewage, drinking and irrigation water. More than 30 fruit trees (apricot trees, apple trees, pear trees and other fruit trees)The price is negotiable.Those who want to call the indicated phone number (MAY)! Price negotiableTranslated from Armenian",Nov-25-2022_00-53,,https://list.am/en/item/17827315
